Page,Column,OCR,Points
121,5,曰禮重,"[(136, 59), (173, 190)]"
121,6,曰以禮食則󰟘兒死,"[(88, 71), (127, 410)]"
121,7,不以禮食則得食,"[(44, 67), (79, 368)]"
123,0,冷以禮乎,"[(351, 60), (390, 239)]"
123,1,親迎則不得妻,"[(306, 58), (345, 319)]"
123,2,不親迎則得妻,"[(258, 59), (302, 321)]"
123,3,必親迎乎,"[(220, 63), (253, 231)]"
123,4,屋盧子不能對,"[(174, 60), (211, 317)]"
123,5,明日之鄒以告孟子,"[(127, 61), (167, 405)]"
123,6,孟子曰,"[(85, 58), (123, 185)]"
123,7,於答是也何有青,"[(38, 58), (78, 317)]"
125,0,不瑞其本而齊其耒,"[(356, 60), (392, 452)]"
125,1,方寸之末可之,"[(311, 62), (348, 496)]"
125,2,金重於羽者,"[(266, 56), (303, 270)]"
125,3,宣謂丿金,"[(220, 57), (259, 273)]"
125,4,興丿興羽之謂哉,"[(179, 57), (215, 368)]"
125,5,取食之重者,"[(133, 59), (170, 270)]"
125,6,典禮之輕者,"[(88, 56), (125, 272)]"
125,7,而北之奚拠食重同,"[(45, 62), (80, 386)]"
127,0,取色之重者,"[(352, 59), (389, 273)]"
127,1,典禮之輕者,"[(309, 57), (345, 269)]"
127,2,而北之奚𦑃色重,"[(268, 64), (300, 371)]"
127,3,徃應之曰,"[(212, 52), (266, 230)]"
127,4,参兄之階而奪之食,"[(173, 56), (213, 405)]"
127,5,則得食,"[(127, 57), (168, 187)]"
127,6,不㐱則不得食,"[(84, 54), (126, 320)]"
127,7,則將㐱之乎,"[(41, 58), (76, 274)]"
129,0,踰東家墻而㨿其處子,"[(354, 70), (393, 466)]"
129,1,則得,"[(309, 69), (350, 199)]"
129,2,不摸則不得妻,"[(268, 75), (304, 331)]"
129,3,則將摸之乎,"[(225, 73), (258, 292)]"
129,4,曹交問曰,"[(181, 75), (214, 241)]"
129,5,丿階呵以爲堯舜,"[(135, 75), (170, 377)]"
129,6,有諸,"[(86, 68), (125, 156)]"
129,7,孟子曰琮,"[(44, 70), (82, 285)]"
131,0,交󰘇文王匕尺,"[(355, 58), (388, 319)]"
131,1,湯九尺,"[(311, 57), (345, 189)]"
131,2,令交九尺四寸以長,"[(267, 59), (300, 405)]"
131,3,食栗而己,"[(221, 56), (258, 226)]"
131,4,如何則可台,"[(176, 57), (213, 269)]"
131,5,日奚有於是,"[(133, 64), (167, 281)]"
131,6,亦爲之而己矣,"[(89, 59), (122, 319)]"
131,7,有人於此,"[(41, 55), (81, 232)]"
133,0,力不能勝一𠀧難,"[(356, 57), (391, 363)]"
133,1,則爲無力尼矣,"[(309, 59), (344, 320)]"
133,2,令曰𦊚百鈎,"[(263, 58), (302, 275)]"
133,3,則爲有力人矣,"[(219, 59), (255, 318)]"
133,4,然則𦊚烏瓊之任,"[(178, 60), (211, 361)]"
133,5,是亦爲烏瓊而己矣,"[(133, 59), (166, 407)]"
133,6,夫人𡸈以不勝爲患哉,"[(90, 61), (120, 448)]"
133,7,弗爲耳,"[(41, 54), (78, 190)]"
135,0,徐行後長者,"[(359, 52), (393, 275)]"
135,1,謂之弟,"[(310, 59), (347, 189)]"
135,2,疾行先長者,"[(259, 57), (306, 274)]"
135,3,調之不弟,"[(221, 60), (258, 240)]"
135,4,夫徐行者,"[(176, 56), (215, 230)]"
135,5,宣人所不能哉,"[(129, 57), (171, 325)]"
135,6,所不爲也,"[(84, 55), (125, 235)]"
135,7,堯舜之道,"[(40, 53), (81, 227)]"
137,0,孝弟而己矣,"[(354, 56), (391, 275)]"
137,1,子服堯之服,"[(310, 59), (347, 279)]"
137,2,誦堯之言行堯之行,"[(261, 59), (305, 458)]"
137,3,是堯而己矣,"[(221, 58), (255, 274)]"
137,4,子服桀之服,"[(175, 57), (214, 279)]"
137,5,誦桀之言行桀之行,"[(126, 57), (172, 459)]"
137,6,是桀而己矣,"[(84, 55), (124, 278)]"
137,7,曰交得見於鄒君,"[(44, 64), (77, 362)]"
139,0,呵以假饒,"[(353, 68), (394, 243)]"
139,1,慮留而受業於門,"[(312, 67), (349, 371)]"
139,2,曰夫道若大路然,"[(268, 72), (304, 372)]"
139,3,宣難知哉,"[(224, 66), (262, 241)]"
139,4,人病不求耳,"[(178, 72), (214, 283)]"
139,5,子歸而求之,"[(133, 67), (172, 280)]"
139,6,有餘師,"[(86, 64), (127, 200)]"
139,7,公孫湿問同,"[(47, 70), (80, 281)]"
141,0,高子曰,"[(352, 55), (394, 185)]"
141,1,小年小人之詩也,"[(306, 55), (351, 405)]"
141,2,孟子曰,"[(262, 54), (306, 183)]"
141,3,何以言之,"[(217, 59), (269, 233)]"
141,4,曰紀,"[(181, 65), (212, 137)]"
141,5,曰固哉,"[(127, 58), (173, 189)]"
141,6,高隻之爲詩也,"[(77, 52), (129, 323)]"
141,7,有人於此,"[(38, 54), (78, 232)]"
143,0,越人󰘇弓而射之,"[(352, 56), (392, 359)]"
143,1,則己談樊而道之,"[(311, 60), (347, 357)]"
143,2,無他蹺之也,"[(267, 59), (300, 268)]"
143,3,其兄調弓而射之,"[(223, 59), (256, 356)]"
143,4,則尼垂涕泣而道之,"[(179, 59), (210, 399)]"
143,5,無他戚之也,"[(132, 58), (169, 273)]"
143,6,小𪪳之怒親親也,"[(82, 57), (129, 411)]"
143,7,親親仁也,"[(44, 58), (78, 227)]"
145,0,固矣夫,"[(350, 54), (395, 193)]"
145,1,高隻之爲詩也,"[(310, 59), (346, 316)]"
145,2,曰凱風何以不懇,"[(265, 64), (301, 372)]"
145,3,曰凱風,"[(219, 61), (257, 192)]"
145,4,親之過小者也,"[(174, 58), (214, 316)]"
145,5,小年親之過犬者也,"[(130, 54), (170, 447)]"
145,6,親之過犬而不怨,"[(83, 56), (125, 365)]"
145,7,是愈蹺也,"[(40, 55), (80, 236)]"
147,0,親之過小而懇,"[(358, 65), (396, 326)]"
147,1,是不可機也,"[(311, 68), (349, 282)]"
147,2,愈玩不孝也,"[(260, 62), (309, 329)]"
147,3,不可亦不孝也,"[(220, 69), (261, 415)]"
147,4,孔犯子曰,"[(175, 68), (220, 193)]"
147,5,舜其至孝矣,"[(129, 62), (173, 290)]"
147,6,五十而慕,"[(86, 61), (125, 242)]"
147,7,宋悭將之楚,"[(41, 70), (80, 283)]"
149,0,孟子過於石丘,"[(354, 54), (391, 312)]"
149,1,日先生將何之,"[(311, 59), (347, 316)]"
149,2,日吾󰘇秦楚構兵,"[(266, 59), (303, 361)]"
149,3,我將見楚王,"[(220, 54), (261, 268)]"
149,4,説而罷之,"[(173, 50), (218, 225)]"
149,5,楚王不悅,"[(131, 49), (172, 237)]"
149,6,我將見秦王,"[(85, 51), (126, 270)]"
149,7,説而罷之,"[(44, 55), (78, 230)]"
151,0,丿王我將有所過焉,"[(359, 50), (392, 399)]"
151,1,曰軻也請無問其詳,"[(316, 59), (345, 400)]"
151,2,慮󰘇其指,"[(267, 53), (304, 226)]"
151,3,説一之將何如之,"[(225, 57), (255, 283)]"
151,4,曰我將言其不利也,"[(182, 60), (211, 397)]"
151,5,曰先生之志則大矣,"[(137, 60), (166, 402)]"
151,6,先生之號則不可,"[(92, 56), (122, 357)]"
151,7,先生以利説秦楚之王,"[(47, 55), (77, 446)]"
153,0,秦楚之王悅於利,"[(347, 52), (394, 370)]"
153,1,以罷三軍之師,"[(311, 63), (346, 318)]"
153,2,是三軍之士樂罷,"[(264, 59), (303, 361)]"
153,3,而悅於利尼,"[(221, 63), (255, 270)]"
153,4,爲人臣者,"[(176, 56), (214, 230)]"
153,5,懷利以事其君,"[(132, 59), (168, 317)]"
153,6,爲人子者,"[(84, 53), (125, 231)]"
153,7,懷利以事其父,"[(43, 59), (78, 320)]"
155,0,爲人弟者,"[(352, 54), (393, 232)]"
155,1,懷利以事其兄,"[(311, 58), (348, 320)]"
155,2,是君臣,"[(263, 55), (308, 186)]"
155,3,父子,"[(219, 56), (264, 139)]"
155,4,兄弟終去仁義,"[(174, 60), (217, 325)]"
155,5,懷利󰜋相接,"[(129, 56), (172, 280)]"
155,6,然而不亡者,"[(85, 56), (126, 274)]"
155,7,耒之有也,"[(38, 55), (82, 234)]"
157,0,先生以仁義,"[(351, 55), (391, 278)]"
157,1,説秦楚之王,"[(308, 58), (347, 274)]"
157,2,秦楚之王悅於仁義,"[(264, 56), (301, 409)]"
157,3,以罷三軍之師,"[(220, 63), (255, 315)]"
157,4,是三軍之士樂罷,"[(178, 59), (212, 360)]"
157,5,而悅於仁義㐌,"[(131, 61), (169, 317)]"
157,6,爲人臣者,"[(86, 54), (123, 230)]"
157,7,懷仁義以事其君,"[(45, 60), (75, 360)]"
159,0,爲人子者,"[(346, 49), (398, 234)]"
159,1,懷仁義以事其父,"[(312, 60), (345, 360)]"
159,2,爲人弟者,"[(264, 56), (302, 229)]"
159,3,懷仁義以事其兄,"[(219, 58), (257, 365)]"
159,4,是君臣父子,"[(173, 55), (217, 322)]"
159,5,兄弟去利,"[(129, 58), (171, 240)]"
159,6,懷仁義󰜋相接也,"[(85, 58), (125, 365)]"
159,7,然而不王者,"[(42, 57), (79, 272)]"
161,0,耒之有也,"[(353, 62), (396, 242)]"
161,1,何冷白利,"[(310, 64), (352, 247)]"
161,2,孟子居鄕,"[(267, 67), (304, 239)]"
161,3,李任爲任處守,"[(222, 66), (259, 325)]"
161,4,以幣交一受之而不報,"[(178, 69), (215, 458)]"
161,5,處於平陸,"[(129, 60), (173, 240)]"
161,6,儲子爲相,"[(84, 63), (128, 241)]"
161,7,以幣交受之而不報,"[(44, 68), (83, 462)]"
163,0,他日由𫴋之任,"[(348, 57), (391, 322)]"
163,1,見李子,"[(308, 56), (349, 184)]"
163,2,由平陸之齊,"[(264, 59), (305, 274)]"
163,3,不見儲子,"[(221, 60), (258, 228)]"
163,4,屋慮子喜曰,"[(180, 61), (212, 267)]"
163,5,逴得間矣,"[(127, 51), (178, 241)]"
163,6,問曰,"[(91, 56), (122, 137)]"
163,7,夫子之任見季子,"[(44, 56), (81, 357)]"
165,0,之齊不見儲子,"[(351, 57), (394, 320)]"
165,1,爲其爲相期,"[(305, 55), (348, 283)]"
165,2,日非也,"[(266, 62), (301, 183)]"
165,3,書曰,"[(224, 58), (255, 137)]"
165,4,享多儀儀不﨤物,"[(173, 55), (217, 412)]"
165,5,曰不享,"[(133, 64), (169, 184)]"
165,6,惟不役志手享,"[(83, 57), (125, 319)]"
165,7,爲其不成享也,"[(42, 56), (79, 323)]"
167,0,星盧子悅,"[(346, 58), (393, 241)]"
167,1,或問之,"[(307, 61), (349, 191)]"
167,2,屋盧子曰,"[(258, 60), (303, 237)]"
167,3,李子不得之鄕,"[(218, 57), (256, 334)]"
167,4,儲子得之乎陸,"[(167, 59), (218, 330)]"
167,5,淳千𣩂曰,"[(129, 66), (166, 231)]"
167,6,先名實者爲人也,"[(83, 61), (125, 416)]"
167,7,後名實者自爲也,"[(39, 62), (77, 412)]"
169,0,夫子在三卿之中,"[(355, 59), (392, 358)]"
169,1,名實耒加於主下而去之,"[(311, 58), (348, 493)]"
169,2,仁者固如此乎,"[(263, 52), (305, 327)]"
169,3,孟子曰,"[(220, 56), (262, 186)]"
169,4,居下位,"[(175, 56), (216, 187)]"
169,5,不以賢事不肖者,"[(131, 59), (170, 362)]"
169,6,伯夷也,"[(82, 52), (130, 187)]"
169,7,五就湯一,"[(40, 57), (84, 192)]"
171,0,五就桀者,"[(349, 55), (392, 235)]"
171,1,併拜也,"[(311, 56), (347, 182)]"
171,2,不惡渃君,"[(263, 59), (300, 237)]"
171,3,不辭小官者,"[(218, 59), (258, 271)]"
171,4,柳下惠也,"[(169, 54), (215, 229)]"
171,5,三子者不同道,"[(130, 59), (170, 313)]"
171,6,其過一也,"[(85, 53), (126, 229)]"
171,7,一者何也,"[(42, 59), (79, 235)]"
173,0,曰仁也,"[(350, 59), (394, 187)]"
173,1,君子亦仁而己矣,"[(309, 59), (346, 365)]"
173,2,何必同,"[(263, 58), (303, 183)]"
173,3,旦魯参公之時,"[(213, 58), (261, 317)]"
173,4,公儀子爲政,"[(180, 59), (211, 271)]"
173,5,子柳子思爲臣,"[(129, 50), (169, 362)]"
173,6,會之削也滋甚,"[(87, 56), (123, 318)]"
173,7,若是乎賢者之,"[(44, 58), (77, 314)]"
175,0,無益於國也,"[(353, 54), (393, 274)]"
175,1,曰󰔄不用百里奚而亡,"[(312, 64), (346, 447)]"
175,2,秦樛公用之而𢀭,"[(265, 54), (305, 362)]"
175,3,不用賢則亡,"[(223, 60), (256, 270)]"
175,4,削何司得與,"[(178, 59), (212, 282)]"
175,5,曰昔者,"[(134, 63), (169, 189)]"
175,6,王約處於滇,"[(81, 55), (127, 276)]"
175,7,而河西善𦖻,"[(47, 61), (77, 268)]"
177,0,錦𧷺處於高唐,"[(354, 57), (390, 327)]"
177,1,而齊󰡏善歇,"[(312, 61), (346, 273)]"
177,2,莘周𢩽梁之妻,"[(262, 55), (303, 364)]"
177,3,善哭其夫而變國󰅒,"[(219, 58), (257, 449)]"
177,4,有諸内必形諸外,"[(172, 54), (216, 409)]"
177,5,爲其事而無其功者,"[(134, 59), (164, 403)]"
177,6,𡎥耒賞貯之也,"[(88, 58), (121, 315)]"
177,7,是故無賢者也,"[(44, 58), (77, 315)]"
179,0,有則󰠳冷識之,"[(354, 58), (390, 315)]"
179,1,曰乳子爲魯司寇,"[(314, 67), (344, 359)]"
179,2,不用一從而祭,"[(264, 59), (304, 322)]"
179,3,𤑟内不至,"[(220, 60), (257, 229)]"
179,4,不税嵬而行,"[(177, 61), (212, 274)]"
179,5,不知者以爲爲内也,"[(135, 65), (165, 402)]"
179,6,其知者以爲爲無禮也,"[(90, 62), (120, 446)]"
179,7,乃乳子則欲以微罪行,"[(43, 63), (79, 456)]"
181,0,不欲爲苟云,"[(351, 65), (392, 281)]"
181,1,君子之所爲,"[(307, 64), (351, 287)]"
181,2,𦊚人固不識也,"[(261, 65), (305, 327)]"
181,3,孟子曰,"[(218, 67), (258, 190)]"
181,4,五覇者,"[(172, 67), (213, 195)]"
181,5,三王之罪人也,"[(129, 70), (169, 326)]"
181,6,令之諸侯,"[(83, 64), (124, 240)]"
181,7,五𢀭之罪人也,"[(39, 69), (79, 328)]"
183,0,今之大夫,"[(351, 55), (395, 237)]"
183,1,冷之諸侯之罪人也,"[(311, 60), (346, 403)]"
183,2,夭子適諸侯日廵狩,"[(266, 62), (301, 405)]"
183,3,諸侯朝於夭子旦𨕭職,"[(218, 55), (261, 451)]"
183,4,春省耕而補不足,"[(176, 55), (216, 362)]"
183,5,秋省敘兒助不伶,"[(128, 58), (171, 365)]"
183,6,八其暄土地𬁖,"[(84, 59), (126, 363)]"
183,7,田野治養老,"[(45, 63), (77, 324)]"
185,0,尊賢俊傑在位,"[(350, 54), (396, 366)]"
185,1,則有慶󰆑以地,"[(310, 59), (351, 362)]"
185,2,八其彊土地筭蕪,"[(265, 59), (306, 406)]"
185,3,遺老失賢,"[(219, 53), (266, 282)]"
185,4,揞克在位則有讓,"[(174, 59), (217, 411)]"
185,5,一不朝則貶其爵,"[(132, 61), (172, 407)]"
185,6,再不朝則削其地,"[(85, 54), (129, 405)]"
185,7,三不朝則六師彩之,"[(42, 58), (84, 449)]"
187,0,是故天子討兒不伐,"[(355, 57), (391, 407)]"
187,1,諸侯伐而不討,"[(311, 57), (348, 316)]"
187,2,五覇者,"[(261, 58), (306, 189)]"
187,3,摱諸侯𧘇伐諸侯者也,"[(216, 52), (265, 451)]"
187,4,故曰五𢀭者,"[(178, 60), (212, 272)]"
187,5,三王之罪人也,"[(135, 63), (168, 315)]"
187,6,五覇桓公爲盛,"[(82, 55), (129, 365)]"
187,7,葵丘之會諸侯,"[(42, 56), (81, 320)]"
189,0,束性載書兒不𰙔血,"[(353, 57), (395, 401)]"
189,1,初命曰,"[(299, 52), (352, 186)]"
189,2,誅不孝,"[(264, 57), (306, 187)]"
189,3,無易𥸷子,"[(222, 58), (258, 228)]"
189,4,無以妾爲妻,"[(176, 56), (216, 279)]"
189,5,再命曰,"[(126, 55), (176, 187)]"
189,6,尊賢育才,"[(84, 56), (125, 286)]"
189,7,以彰有德,"[(37, 58), (83, 237)]"
191,0,三命曰,"[(349, 59), (394, 186)]"
191,1,敬老慈缺,"[(306, 58), (350, 271)]"
191,2,無忘寶旅,"[(264, 60), (302, 231)]"
191,3,四命曰,"[(221, 66), (255, 180)]"
191,4,士無世官,"[(167, 56), (219, 231)]"
191,5,官事無攝,"[(126, 60), (168, 234)]"
191,6,取士必得,"[(87, 63), (122, 227)]"
191,7,無專殺犬夫,"[(44, 59), (77, 284)]"
193,0,五命曰,"[(349, 56), (397, 188)]"
193,1,無曲防一無過羅,"[(304, 57), (352, 370)]"
193,2,無有風而不告,"[(269, 62), (299, 313)]"
193,3,曰几我同盥之人,"[(224, 65), (261, 358)]"
193,4,既盟之後言歸千好,"[(172, 60), (215, 453)]"
193,5,令之諸侯,"[(131, 57), (171, 234)]"
193,6,㗂犯此五禁,"[(83, 56), (126, 277)]"
193,7,故曰冷之諸侯,"[(41, 57), (80, 320)]"
195,0,五覇之罪人也,"[(354, 68), (389, 322)]"
195,1,長君之惡其罪小,"[(308, 63), (346, 419)]"
195,2,蓬君之惡其罪大,"[(263, 65), (300, 420)]"
195,3,爲之大夫皆逢君之惡,"[(220, 66), (255, 457)]"
195,4,故同爲之大夫,"[(179, 68), (209, 326)]"
195,5,令之諸侯之罪人也,"[(130, 66), (166, 410)]"
195,6,曾欲使憤子爲將軍,"[(87, 68), (120, 414)]"
195,7,孟子曰,"[(46, 68), (74, 185)]"
197,0,不教民而用之,"[(355, 60), (391, 315)]"
197,1,調之秩民秩民者,"[(308, 60), (352, 408)]"
197,2,不容於堯舜之世,"[(267, 63), (300, 357)]"
197,3,丿戰勝齊遂有南陽,"[(221, 66), (258, 457)]"
197,4,然旦不可,"[(177, 57), (214, 229)]"
197,5,憤子勃然不悅,"[(136, 61), (166, 316)]"
197,6,曰此則濁鍾所不識也,"[(88, 64), (124, 447)]"
197,7,日吾明告子,"[(45, 63), (79, 273)]"
199,0,夭子之地方千里,"[(357, 62), (391, 362)]"
199,1,不千里,"[(311, 61), (347, 182)]"
199,2,不足以待諸侯,"[(264, 62), (304, 322)]"
199,3,諸侯之地方百里,"[(220, 57), (260, 362)]"
199,4,不百里,"[(176, 59), (214, 184)]"
199,5,不足以守宗廟之典籍,"[(132, 61), (168, 455)]"
199,6,周公之封於魯,"[(87, 60), (124, 319)]"
199,7,爲方百里也,"[(41, 55), (81, 273)]"
201,0,地非不足,"[(353, 68), (390, 243)]"
201,1,而儉於百里,"[(311, 70), (346, 280)]"
201,2,太公之封於齊也,"[(265, 69), (301, 368)]"
201,3,亦爲方百里也,"[(221, 67), (254, 322)]"
201,4,地非不足也,"[(177, 70), (211, 281)]"
201,5,而儉於百里,"[(128, 68), (169, 285)]"
201,6,癸會方百里者五,"[(88, 69), (121, 367)]"
201,7,子以爲有王者作,"[(42, 68), (77, 370)]"
203,0,則魯在所損乎,"[(357, 71), (390, 335)]"
203,1,在所益乎,"[(313, 70), (347, 250)]"
203,2,徒取諸彼以與此,"[(265, 70), (305, 374)]"
203,3,然旦仁者不爲,"[(220, 70), (260, 332)]"
203,4,况於殺戈以求之乎,"[(180, 75), (213, 418)]"
203,5,君子之事君也,"[(135, 72), (168, 327)]"
203,6,務引其君󰜋當道,"[(84, 66), (128, 373)]"
203,7,志於仁而尼,"[(44, 71), (78, 284)]"
205,0,孟子曰,"[(352, 60), (392, 189)]"
205,1,今之事君者,"[(306, 59), (350, 282)]"
205,2,皆曰,"[(268, 63), (300, 149)]"
205,3,我能爲君辟土地,"[(216, 61), (259, 364)]"
205,4,綂府庸,"[(176, 64), (212, 189)]"
205,5,今之所調良臣,"[(131, 61), (167, 322)]"
205,6,古之所謂民賊也,"[(86, 64), (123, 368)]"
205,7,君不鄕道不志於仁,"[(40, 64), (82, 458)]"
207,0,而求富之是富桀也,"[(356, 70), (393, 464)]"
207,1,我能爲君約興國,"[(311, 67), (348, 376)]"
207,2,戰必克,"[(267, 70), (305, 210)]"
207,3,今之所調良臣,"[(223, 69), (259, 324)]"
207,4,古之所謂民賊也,"[(180, 70), (213, 367)]"
207,5,君不鄕道不志於仁,"[(131, 70), (168, 461)]"
207,6,而求爲之強𡃹,"[(88, 70), (124, 328)]"
207,7,是輔桀也,"[(46, 69), (79, 242)]"
209,0,由因之道,"[(353, 69), (391, 238)]"
209,1,無變冷之俗,"[(302, 59), (352, 281)]"
209,2,雖典之夭仁,"[(265, 66), (303, 284)]"
209,3,不能一朝居也,"[(221, 65), (257, 329)]"
209,4,白圭曰,"[(176, 74), (215, 195)]"
209,5,音欲二而取一,"[(129, 66), (169, 363)]"
209,6,何如,"[(85, 69), (123, 149)]"
209,7,孟子曰,"[(40, 65), (81, 195)]"
211,0,子之道貉道也,"[(354, 66), (394, 373)]"
211,1,萬室之國一二人陶,"[(311, 64), (351, 413)]"
211,2,則可乎,"[(268, 68), (304, 198)]"
211,3,曰不可,"[(225, 71), (259, 194)]"
211,4,𫥨不足用也,"[(181, 70), (215, 281)]"
211,5,曰夫貉,"[(129, 69), (173, 197)]"
211,6,五榖不生,"[(87, 69), (125, 239)]"
211,7,惟沗生之無城郎,"[(40, 65), (84, 419)]"
213,0,宮室宗廟,"[(352, 67), (390, 285)]"
213,1,祭祀之禮,"[(305, 63), (348, 240)]"
213,2,無諸侯幣帛鏖飧,"[(265, 64), (301, 381)]"
213,3,無百官育同,"[(224, 67), (251, 279)]"
213,4,故之十取一而足也,"[(178, 68), (211, 409)]"
213,5,令居中國,"[(132, 65), (166, 235)]"
213,6,去人倫無君子,"[(84, 64), (125, 371)]"
213,7,如之何其可也,"[(42, 66), (78, 328)]"
215,0,陶以家,"[(351, 62), (396, 202)]"
215,1,旦不可以爲國,"[(311, 70), (347, 324)]"
215,2,况無君子乎,"[(268, 70), (301, 282)]"
215,3,欲輕之於堯舜之道者,"[(218, 65), (260, 459)]"
215,4,大貉小貉也,"[(173, 63), (218, 323)]"
215,5,欲重之於堯舜之道者,"[(131, 66), (170, 457)]"
215,6,大傑,"[(84, 62), (127, 154)]"
215,7,小桀也,"[(44, 66), (79, 194)]"
217,0,白圭曰,"[(360, 65), (390, 188)]"
217,1,󰑼之治氷也愈於禹,"[(315, 65), (348, 408)]"
217,2,孟子曰子過矣,"[(266, 65), (307, 372)]"
217,3,禹之治水水之道也,"[(223, 63), (260, 453)]"
217,4,是故禹以四海爲懿,"[(181, 63), (213, 410)]"
217,5,令吾子以鄰國爲坚,"[(135, 64), (168, 411)]"
217,6,水逆行謂之澄水,"[(85, 58), (130, 413)]"
217,7,澄水者決水也,"[(43, 58), (84, 364)]"
219,0,仁人之所惡也,"[(348, 62), (400, 332)]"
219,1,咍子過矣,"[(308, 67), (351, 246)]"
219,2,孟子曰,"[(267, 70), (304, 194)]"
219,3,君子不亮一惡乎執,"[(216, 70), (264, 429)]"
219,4,會欲使樂正子爲政,"[(178, 71), (214, 426)]"
219,5,孟子曰,"[(132, 68), (167, 194)]"
219,6,音󰘇之,"[(83, 65), (128, 199)]"
219,7,喜而不寒,"[(42, 66), (82, 248)]"
221,0,公孫壬曰,"[(350, 63), (390, 234)]"
221,1,樂正子強乎,"[(308, 65), (345, 285)]"
221,2,曰否,"[(264, 70), (300, 148)]"
221,3,有知慮乎,"[(218, 67), (252, 239)]"
221,4,曰否,"[(174, 70), (210, 148)]"
221,5,多聞識乎,"[(130, 61), (167, 237)]"
221,6,曰否,"[(86, 69), (122, 149)]"
221,7,然則奚爲喜而不寒,"[(40, 64), (77, 424)]"
223,0,曰其爲人也好善,"[(353, 69), (394, 369)]"
223,1,好善足乎,"[(311, 67), (348, 242)]"
223,2,曰好善侵於夭下,"[(264, 71), (304, 369)]"
223,3,而况魯國牟,"[(226, 73), (253, 280)]"
223,4,夫苟好善,"[(175, 65), (214, 237)]"
223,5,則四海之凶,"[(133, 68), (170, 280)]"
223,6,㗂將輕牢埋,"[(89, 67), (123, 281)]"
223,7,而來告之以善,"[(46, 70), (76, 323)]"
225,0,夫苟不好善,"[(358, 69), (391, 282)]"
225,1,則人將曰,"[(310, 66), (349, 238)]"
225,2,記記子既己知之矣,"[(262, 64), (306, 462)]"
225,3,訛訛之聲音顔包,"[(223, 71), (256, 371)]"
225,4,距人於牟里之外,"[(179, 71), (212, 377)]"
225,5,士止於牟里之外,"[(136, 70), (166, 375)]"
225,6,則讒諸靣䛕之人至矣,"[(87, 68), (123, 462)]"
225,7,興讒諸面䛕之人居,"[(47, 70), (77, 418)]"
227,0,國欲治,"[(350, 61), (398, 192)]"
227,1,可得乎,"[(307, 64), (352, 196)]"
227,2,陳子曰,"[(264, 63), (308, 191)]"
227,3,古之君子何如則仕,"[(218, 65), (261, 457)]"
227,4,孟子曰,"[(176, 62), (217, 192)]"
227,5,所就三所去三,"[(127, 59), (176, 376)]"
227,6,迎之致敬扒有禮,"[(84, 65), (127, 377)]"
227,7,言將行其言也,"[(43, 68), (80, 324)]"
229,0,則就之,"[(352, 54), (397, 183)]"
229,1,禮貌耒衰,"[(306, 54), (354, 235)]"
229,2,言弗行也則去之,"[(267, 61), (309, 408)]"
229,3,其矣雖耒行其言也,"[(221, 55), (264, 448)]"
229,4,迎之致敬󰜋有禮,"[(175, 56), (220, 368)]"
229,5,則就之,"[(129, 54), (175, 186)]"
229,6,禮貌衰則去之,"[(83, 52), (132, 367)]"
229,7,其下,"[(45, 56), (84, 142)]"
231,0,朝不食爫不食,"[(352, 65), (394, 374)]"
231,1,鱗饒不能曲門斤,"[(311, 67), (347, 374)]"
231,2,君聞之,"[(265, 68), (303, 194)]"
231,3,曰吾大者不能行其道,"[(223, 74), (256, 455)]"
231,4,又不能從其言也,"[(178, 65), (211, 366)]"
231,5,使鱗餓於我土地,"[(131, 67), (171, 367)]"
231,6,𢚸命之,"[(85, 66), (125, 193)]"
231,7,周之亦可受也,"[(43, 65), (83, 368)]"
233,0,兑死而己矣,"[(352, 65), (394, 286)]"
233,1,孟子曰,"[(312, 69), (347, 193)]"
233,2,舜發於吠𣋚之中,"[(269, 67), (299, 370)]"
233,3,傳説𦊚於版説之間,"[(220, 67), (257, 415)]"
233,4,膠高󰁮於魚盥之中,"[(174, 63), (217, 419)]"
233,5,管夷吾𦊚於士,"[(132, 67), (168, 324)]"
233,6,孫叔敖𦊚於海,"[(87, 69), (123, 326)]"
233,7,百里奚𦊚於市,"[(44, 69), (76, 323)]"
235,0,故夭將降犬任於是人也,"[(352, 66), (390, 503)]"
235,1,必先苦其心志,"[(313, 66), (344, 322)]"
235,2,勞其飭骨饒其體膚,"[(266, 65), (304, 465)]"
235,3,空之其身,"[(219, 63), (258, 238)]"
235,4,行排訛其所爲,"[(175, 65), (215, 329)]"
235,5,所以動心恩性,"[(134, 69), (164, 322)]"
235,6,曾益其所不能,"[(88, 64), (123, 327)]"
235,7,人恒過然後能改,"[(41, 64), (83, 415)]"
237,0,因於心衝於慮,"[(347, 64), (395, 384)]"
237,1,而後作,"[(309, 63), (350, 192)]"
237,2,徵於包發於聲,"[(263, 65), (308, 374)]"
237,3,而後瑜,"[(223, 69), (257, 207)]"
237,4,八則無法家排士,"[(179, 69), (216, 369)]"
237,5,出則無敵國外患者,"[(132, 66), (171, 415)]"
237,6,國恒亡一,"[(90, 68), (123, 206)]"
237,7,然後知生於憂患,"[(44, 66), (80, 371)]"
239,0,而死於安樂也,"[(349, 65), (392, 327)]"
239,1,孟子曰,"[(316, 68), (347, 185)]"
239,2,教亦多𧗱矣,"[(260, 62), (307, 281)]"
239,3,子不人之教誨也者,"[(218, 65), (260, 415)]"
239,4,是亦教謝之而己矣,"[(172, 61), (217, 425)]"
