Page,Column,transcription,Points,quoc_ngu_groundtruth,Chữ Quốc Ngữ,transcription_list,quoc_ngu_groundtruth_list
63,1,其所以放其良心者,"[(311, 58), (346, 404)]",kỳ sở dĩ phòng kỳ lương tâm giả,Kỳ Sở Dĩ Phòng Kỳ Lương Tâm Giả,"['其', '所', '以', '放', '其', '良', '心', '者']","['kỳ', 'sở', 'dĩ', 'phòng', 'kỳ', 'lương', 'tâm', 'giả']"
63,2,亦猶斧斤之於木也,"[(268, 61), (301, 403)]",diệc do phủ cân chi ư mộc dã,Diệc Do Phủ Cân Chi Ư Mộc Dã,"['亦', '猶', '斧', '斤', '之', '於', '木', '也']","['diệc', 'do', 'phủ', 'cân', 'chi', 'ư', 'mộc', 'dã']"
63,3,旦旦而伐之,"[(221, 63), (257, 267)]",đán đán nhi phạt chi,Đán Đán Nhi Phạt Chi,"['旦', '旦', '而', '伐', '之']","['đán', 'đán', 'nhi', 'phạt', 'chi']"
63,4,呵以爲美乎,"[(179, 61), (212, 275)]",khả dĩ vi mỹ hồ,Khả Dĩ Vi Mỹ Hồ,"['呵', '以', '爲', '美', '乎']","['khả', 'dĩ', 'vi', 'mỹ', 'hồ']"
63,5,其日夜之所息,"[(134, 59), (167, 318)]",kỳ nhật dã chi sở tức,Kỳ Nhật Dã Chi Sở Tức,"['其', '日', '夜', '之', '所', '息']","['kỳ', 'nhật', 'dã', 'chi', 'sở', 'tức']"
63,6,平旦之氣,"[(85, 55), (126, 235)]",bình đán chi khí,Bình Đán Chi Khí,"['平', '旦', '之', '氣']","['bình', 'đán', 'chi', 'khí']"
63,7,其好惡典人相𨑮也,"[(44, 57), (81, 405)]",kỳ hảo ố dữ nhân tương cận dã,Kỳ Hảo Ố Dữ Nhân Tương Cận Dã,"['其', '好', '惡', '典', '人', '相', '𨑮', '也']","['kỳ', 'hảo', 'ố', 'dữ', 'nhân', 'tương', 'cận', 'dã']"
65,0,者錢希,"[(350, 51), (395, 193)]",giả ky hy,Giả Ky Hy,"['者', '錢', '希']","['giả', 'ky', 'hy']"
65,1,則其旦晝之所爲,"[(308, 59), (347, 363)]",tắc kỳ đán trú chi sở vi,Tắc Kỳ Đán Trú Chi Sở Vi,"['則', '其', '旦', '晝', '之', '所', '爲']","['tắc', 'kỳ', 'đán', 'trú', 'chi', 'sở', 'vi']"
65,2,有拮亡之矣,"[(262, 56), (303, 276)]",hữu cốc vong chi hỹ,Hữu Cốc Vong Chi Hỹ,"['有', '拮', '亡', '之', '矣']","['hữu', 'cốc', 'vong', 'chi', 'hỹ']"
65,3,拮之﨤瓊,"[(216, 55), (259, 239)]",cốc chi phản phúc,Cốc Chi Phản Phúc,"['拮', '之', '﨤', '瓊']","['cốc', 'chi', 'phản', 'phúc']"
65,4,則其夜氣不足以存,"[(177, 59), (212, 406)]",tắc kỳ dạ khí bất túc dĩ tồn,Tắc Kỳ Dạ Khí Bất Túc Dĩ Tồn,"['則', '其', '夜', '氣', '不', '足', '以', '存']","['tắc', 'kỳ', 'dạ', 'khí', 'bất', 'túc', 'dĩ', 'tồn']"
65,5,夜氣不足以存,"[(133, 60), (166, 317)]",dạ khí bất túc dĩ tồn,Dạ Khí Bất Túc Dĩ Tồn,"['夜', '氣', '不', '足', '以', '存']","['dạ', 'khí', 'bất', 'túc', 'dĩ', 'tồn']"
65,6,則其逴禽獸不遠矣,"[(87, 60), (123, 407)]",tắc kỳ vi cầm thú bất viễn hỹ,Tắc Kỳ Vi Cầm Thú Bất Viễn Hỹ,"['則', '其', '逴', '禽', '獸', '不', '遠', '矣']","['tắc', 'kỳ', 'vi', 'cầm', 'thú', 'bất', 'viễn', 'hỹ']"
65,7,人見其翁獸也,"[(44, 59), (79, 316)]",nhân kiến kỳ cấm thú dã,Nhân Kiến Kỳ Cấm Thú Dã,"['人', '見', '其', '翁', '獸', '也']","['nhân', 'kiến', 'kỳ', 'cấm', 'thú', 'dã']"
67,0,而以爲耒當有才焉者,"[(354, 61), (390, 452)]",nhi dĩ vi vị thường hữu tài yên giả,Nhi Dĩ Vi Vị Thường Hữu Tài Yên Giả,"['而', '以', '爲', '耒', '當', '有', '才', '焉', '者']","['nhi', 'dĩ', 'vi', 'vị', 'thường', 'hữu', 'tài', 'yên', 'giả']"
67,1,是𡸈人之情也哉,"[(313, 58), (346, 367)]",thị khởi nhân chi tình dã tai,Thị Khởi Nhân Chi Tình Dã Tai,"['是', '𡸈', '人', '之', '情', '也', '哉']","['thị', 'khởi', 'nhân', 'chi', 'tình', 'dã', 'tai']"
67,2,故苟得其養,"[(266, 60), (300, 270)]",cố cẩu đắc kỳ dưỡng,Cố Cẩu Đắc Kỳ Dưỡng,"['故', '苟', '得', '其', '養']","['cố', 'cẩu', 'đắc', 'kỳ', 'dưỡng']"
67,3,無物不長,"[(222, 60), (255, 228)]",vô vật bất trưởng,Vô Vật Bất Trưởng,"['無', '物', '不', '長']","['vô', 'vật', 'bất', 'trưởng']"
67,4,尙失其養,"[(177, 57), (214, 231)]",cảu thất kỳ dưỡng,Cảu Thất Kỳ Dưỡng,"['尙', '失', '其', '養']","['cảu', 'thất', 'kỳ', 'dưỡng']"
67,5,無物不消一,"[(130, 56), (169, 243)]",vô vật bất tiêu,Vô Vật Bất Tiêu,"['無', '物', '不', '消', '一']","['vô', 'vật', 'bất', 'tiêu']"
67,6,孔子曰,"[(83, 55), (128, 186)]",khổng tử viết,Khổng Tử Viết,"['孔', '子', '曰']","['khổng', 'tử', 'viết']"
67,7,操則存舍則亡,"[(41, 56), (81, 361)]",thao tắc tồn xả tắc vong,Thao Tắc Tồn Xả Tắc Vong,"['操', '則', '存', '舍', '則', '亡']","['thao', 'tắc', 'tồn', 'xả', 'tắc', 'vong']"
69,0,出人無時,"[(355, 64), (393, 237)]",xuất nhập vô thời,Xuất Nhập Vô Thời,"['出', '人', '無', '時']","['xuất', 'nhập', 'vô', 'thời']"
69,1,莫知其鄕,"[(306, 61), (350, 244)]",mạc tri kỳ hương,Mạc Tri Kỳ Hương,"['莫', '知', '其', '鄕']","['mạc', 'tri', 'kỳ', 'hương']"
69,2,惟心之謂寧,"[(259, 62), (307, 280)]",duy tâm chi vị dư,Duy Tâm Chi Vị Dư,"['惟', '心', '之', '謂', '寧']","['duy', 'tâm', 'chi', 'vị', 'dư']"
69,3,孟子曰,"[(221, 65), (257, 189)]",mạnh tử viết,9 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
69,4,無或乎王之不智也,"[(175, 64), (212, 410)]",vô hoặc hồ vương chi bất trí dã,Vô Hoặc Hồ Vương Chi Bất Trí Dã,"['無', '或', '乎', '王', '之', '不', '智', '也']","['vô', 'hoặc', 'hồ', 'vương', 'chi', 'bất', 'trí', 'dã']"
69,5,雖有夭下易生之物也,"[(129, 65), (168, 453)]",tuy hữu thiên hạ dị sinh vật vật dã,Tuy Hữu Thiên Hạ Dị Sinh Vật Vật Dã,"['雖', '有', '夭', '下', '易', '生', '之', '物', '也']","['tuy', 'hữu', 'thiên', 'hạ', 'dị', 'sinh', 'vật', 'vật', 'dã']"
69,6,一日暴之十日寒之,"[(85, 67), (124, 455)]",nhất nhật bộc chi thập nhật hàn chi,Nhất Nhật Bộc Chi Thập Nhật Hàn Chi,"['一', '日', '暴', '之', '十', '日', '寒', '之']","['nhất', 'nhật', 'bộc', 'chi', 'thập', 'nhật', 'hàn', 'chi']"
69,7,耒有能生者也,"[(42, 63), (78, 326)]",vị hữu năng sinh giả dã,Vị Hữu Năng Sinh Giả Dã,"['耒', '有', '能', '生', '者', '也']","['vị', 'hữu', 'năng', 'sinh', 'giả', 'dã']"
71,0,妾見亦罕矣,"[(355, 59), (389, 277)]",ngô kiến diệc hãn hỹ,Ngô Kiến Diệc Hãn Hỹ,"['妾', '見', '亦', '罕', '矣']","['ngô', 'kiến', 'diệc', 'hãn', 'hỹ']"
71,1,吳退而寒之者至矣,"[(312, 61), (345, 406)]",ngô thối nhi hàn chi giả chí hỹ,Ngô Thối Nhi Hàn Chi Giả Chí Hỹ,"['吳', '退', '而', '寒', '之', '者', '至', '矣']","['ngô', 'thối', 'nhi', 'hàn', 'chi', 'giả', 'chí', 'hỹ']"
71,2,妾如育萌急何哉,"[(266, 60), (300, 358)]",ngô như hữu manh yên hà tai,Ngô Như Hữu Manh Yên Hà Tai,"['妾', '如', '育', '萌', '急', '何', '哉']","['ngô', 'như', 'hữu', 'manh', 'yên', 'hà', 'tai']"
71,3,今夫寶之爲數,"[(219, 57), (259, 318)]",kim phù dịch chi vi số,Kim Phù Dịch Chi Vi Số,"['今', '夫', '寶', '之', '爲', '數']","['kim', 'phù', 'dịch', 'chi', 'vi', 'số']"
71,4,小數也,"[(174, 57), (216, 183)]",tiểu số dã,Tiểu Số Dã,"['小', '數', '也']","['tiểu', 'số', 'dã']"
71,5,不專心致志,"[(134, 62), (166, 274)]",bất chuyên tâm trí chí,Bất Chuyên Tâm Trí Chí,"['不', '專', '心', '致', '志']","['bất', 'chuyên', 'tâm', 'trí', 'chí']"
71,6,則不得也,"[(80, 55), (126, 229)]",tắc bất đắc dã,Tắc Bất Đắc Dã,"['則', '不', '得', '也']","['tắc', 'bất', 'đắc', 'dã']"
71,7,弄秋,"[(39, 53), (83, 143)]",dịch thu,Dịch Thu,"['弄', '秋']","['dịch', 'thu']"
73,0,通國之善率者也,"[(356, 60), (389, 358)]",thông quốc chi thiện dịch giả dã,Thông Quốc Chi Thiện Dịch Giả Dã,"['通', '國', '之', '善', '率', '者', '也']","['thông', 'quốc', 'chi', 'thiện', 'dịch', 'giả', 'dã']"
73,1,使奔秋誨二人奔,"[(307, 55), (350, 360)]",sử dịch thu hối nhị nhân dịch,Sử Dịch Thu Hối Nhị Nhân Dịch,"['使', '奔', '秋', '誨', '二', '人', '奔']","['sử', 'dịch', 'thu', 'hối', 'nhị', 'nhân', 'dịch']"
73,2,其八人專一心致志,"[(269, 61), (299, 357)]",kỳ nhất nhân chuyên tâm trí chí,Kỳ Nhất Nhân Chuyên Tâm Trí Chí,"['其', '八', '人', '專', '一', '心', '致', '志']","['kỳ', 'nhất', 'nhân', 'chuyên', 'tâm', 'trí', 'chí']"
73,3,惟奔秋之爲聽,"[(220, 59), (257, 315)]",duy dịch thu chi vi thính,Duy Dịch Thu Chi Vi Thính,"['惟', '奔', '秋', '之', '爲', '聽']","['duy', 'dịch', 'thu', 'chi', 'vi', 'thính']"
73,4,一人雖聽之,"[(178, 66), (212, 268)]",nhất nhân tuy thính chi,Nhất Nhân Tuy Thính Chi,"['一', '人', '雖', '聽', '之']","['nhất', 'nhân', 'tuy', 'thính', 'chi']"
73,5,心以爲有鴻鵠將至,"[(131, 64), (167, 446)]",nhất tâm dĩ vi hữu hồng hộc tương chí,Nhất Tâm Dĩ Vi Hữu Hồng Hộc Tương Chí,"['心', '以', '爲', '有', '鴻', '鵠', '將', '至']","['nhất', 'tâm', 'dĩ', 'vi', 'hữu', 'hồng', 'hộc', 'tương', 'chí']"
73,6,思援弓徽而射之,"[(83, 57), (125, 360)]",tư viên cung chước nhi xạ chi,Tư Viên Cung Chước Nhi Xạ Chi,"['思', '援', '弓', '徽', '而', '射', '之']","['tư', 'viên', 'cung', 'chước', 'nhi', 'xạ', 'chi']"
73,7,雖興之俱學,"[(44, 57), (81, 275)]",tuy dữ chi cụ học,Tuy Dữ Chi Cụ Học,"['雖', '興', '之', '俱', '學']","['tuy', 'dữ', 'chi', 'cụ', 'học']"
75,0,弗苦之矣,"[(352, 65), (392, 247)]",phất nhược chi hỹ,Phất Nhược Chi Hỹ,"['弗', '苦', '之', '矣']","['phất', 'nhược', 'chi', 'hỹ']"
75,1,爲是其智錦苦與,"[(309, 67), (345, 376)]",vị thị kỳ trí phất nhược dư,Vị Thị Kỳ Trí Phất Nhược Dư,"['爲', '是', '其', '智', '錦', '苦', '與']","['vị', 'thị', 'kỳ', 'trí', 'phất', 'nhược', 'dư']"
75,2,日非然也,"[(265, 73), (299, 241)]",viết phi nhiên dã,Viết Phi Nhiên Dã,"['日', '非', '然', '也']","['viết', 'phi', 'nhiên', 'dã']"
75,3,孟子曰,"[(221, 73), (255, 194)]",mạnh tử viết,10 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
75,4,魚我所欲也,"[(175, 69), (212, 284)]",ngư ngã sở dục dã,Ngư Ngã Sở Dục Dã,"['魚', '我', '所', '欲', '也']","['ngư', 'ngã', 'sở', 'dục', 'dã']"
75,5,掌亦我所欲也,"[(130, 69), (167, 371)]",hùng chưởng diệc ngã sở dục dã,Hùng Chưởng Diệc Ngã Sở Dục Dã,"['掌', '亦', '我', '所', '欲', '也']","['hùng', 'chưởng', 'diệc', 'ngã', 'sở', 'dục', 'dã']"
75,6,之者不可得乘,"[(85, 71), (121, 330)]",nhị giả bất khả đắc kiêm,Nhị Giả Bất Khả Đắc Kiêm,"['之', '者', '不', '可', '得', '乘']","['nhị', 'giả', 'bất', 'khả', 'đắc', 'kiêm']"
75,7,舍魚而取焦掌者也,"[(45, 71), (75, 415)]",xả ngư nhi thủ hùng chưởng giả dã,Xả Ngư Nhi Thủ Hùng Chưởng Giả Dã,"['舍', '魚', '而', '取', '焦', '掌', '者', '也']","['xả', 'ngư', 'nhi', 'thủ', 'hùng', 'chưởng', 'giả', 'dã']"
77,0,生亦我所欲也,"[(350, 57), (392, 317)]",sinh diệc ngã sở dục dã,Sinh Diệc Ngã Sở Dục Dã,"['生', '亦', '我', '所', '欲', '也']","['sinh', 'diệc', 'ngã', 'sở', 'dục', 'dã']"
77,1,義亦我所欲也,"[(312, 56), (345, 314)]",nghĩa diệc ngã sở dục dã,Nghĩa Diệc Ngã Sở Dục Dã,"['義', '亦', '我', '所', '欲', '也']","['nghĩa', 'diệc', 'ngã', 'sở', 'dục', 'dã']"
77,2,之者不可得乘,"[(267, 65), (300, 320)]",nhị giả bất khả đắc kiêm,Nhị Giả Bất Khả Đắc Kiêm,"['之', '者', '不', '可', '得', '乘']","['nhị', 'giả', 'bất', 'khả', 'đắc', 'kiêm']"
77,3,舍生而取義者也,"[(219, 57), (259, 360)]",xả sinh nhi thủ nghĩa giả dã,Xả Sinh Nhi Thủ Nghĩa Giả Dã,"['舍', '生', '而', '取', '義', '者', '也']","['xả', 'sinh', 'nhi', 'thủ', 'nghĩa', 'giả', 'dã']"
77,4,生亦我所欲,"[(176, 60), (213, 275)]",sinh diệc ngã sở dục,Sinh Diệc Ngã Sở Dục,"['生', '亦', '我', '所', '欲']","['sinh', 'diệc', 'ngã', 'sở', 'dục']"
77,5,所欲有甚於生者,"[(131, 59), (167, 359)]",sở dục hữu thậm ư sinh giả,Sở Dục Hữu Thậm Ư Sinh Giả,"['所', '欲', '有', '甚', '於', '生', '者']","['sở', 'dục', 'hữu', 'thậm', 'ư', 'sinh', 'giả']"
77,6,故不爲苟得也,"[(82, 57), (125, 318)]",cố bất vi cẩu đắc dã,Cố Bất Vi Cẩu Đắc Dã,"['故', '不', '爲', '苟', '得', '也']","['cố', 'bất', 'vi', 'cẩu', 'đắc', 'dã']"
77,7,死亦我所惡,"[(46, 61), (76, 271)]",tử diệc ngã sở ố,Tử Diệc Ngã Sở Ố,"['死', '亦', '我', '所', '惡']","['tử', 'diệc', 'ngã', 'sở', 'ố']"
79,0,所惡育葚於死者,"[(356, 61), (389, 358)]",sở ố hữu thậm ư tử giả,Sở Ố Hữu Thậm Ư Tử Giả,"['所', '惡', '育', '葚', '於', '死', '者']","['sở', 'ố', 'hữu', 'thậm', 'ư', 'tử', 'giả']"
79,1,故患育所不辟也,"[(314, 62), (344, 359)]",cố hoạn hữu sở bất tỵ dã,Cố Hoạn Hữu Sở Bất Tỵ Dã,"['故', '患', '育', '所', '不', '辟', '也']","['cố', 'hoạn', 'hữu', 'sở', 'bất', 'tỵ', 'dã']"
79,2,如使人之所欲莫甚於生,"[(266, 61), (300, 496)]",như sử nhân chi sở dục mạc thậm ư sinh,Như Sử Nhân Chi Sở Dục Mạc Thậm Ư Sinh,"['如', '使', '人', '之', '所', '欲', '莫', '甚', '於', '生']","['như', 'sử', 'nhân', 'chi', 'sở', 'dục', 'mạc', 'thậm', 'ư', 'sinh']"
79,3,則几可以得生者,"[(222, 61), (255, 357)]",tắc phàm khả dĩ đắc sinh giả,Tắc Phàm Khả Dĩ Đắc Sinh Giả,"['則', '几', '可', '以', '得', '生', '者']","['tắc', 'phàm', 'khả', 'dĩ', 'đắc', 'sinh', 'giả']"
79,4,何不用也,"[(176, 59), (213, 234)]",hà bất dụng dã,Hà Bất Dụng Dã,"['何', '不', '用', '也']","['hà', 'bất', 'dụng', 'dã']"
79,5,使人之所惡莫甚於死者,"[(134, 61), (167, 494)]",sử nhân chi sở ố mạc thậm ư tử giả,Sử Nhân Chi Sở Ố Mạc Thậm Ư Tử Giả,"['使', '人', '之', '所', '惡', '莫', '甚', '於', '死', '者']","['sử', 'nhân', 'chi', 'sở', 'ố', 'mạc', 'thậm', 'ư', 'tử', 'giả']"
79,6,則几司以辟患者,"[(87, 59), (123, 358)]",tắc phàm khả dĩ tỵ hoạn giả,Tắc Phàm Khả Dĩ Tỵ Hoạn Giả,"['則', '几', '司', '以', '辟', '患', '者']","['tắc', 'phàm', 'khả', 'dĩ', 'tỵ', 'hoạn', 'giả']"
79,7,何不爲也,"[(44, 60), (80, 228)]",hà bất vi dã,Hà Bất Vi Dã,"['何', '不', '爲', '也']","['hà', 'bất', 'vi', 'dã']"
81,0,曲是則生而有不用也,"[(357, 61), (387, 446)]",do thị tắc sinh nhi hữu bất dụng dã,Do Thị Tắc Sinh Nhi Hữu Bất Dụng Dã,"['曲', '是', '則', '生', '而', '有', '不', '用', '也']","['do', 'thị', 'tắc', 'sinh', 'nhi', 'hữu', 'bất', 'dụng', 'dã']"
81,1,由是則可以辞患,"[(314, 62), (344, 361)]",do thị tắc khả dĩ tỵ hoạn,Do Thị Tắc Khả Dĩ Tỵ Hoạn,"['由', '是', '則', '可', '以', '辞', '患']","['do', 'thị', 'tắc', 'khả', 'dĩ', 'tỵ', 'hoạn']"
81,2,而有不爲也,"[(269, 63), (299, 270)]",nhi hữu bất vi dã,Nhi Hữu Bất Vi Dã,"['而', '有', '不', '爲', '也']","['nhi', 'hữu', 'bất', 'vi', 'dã']"
81,3,是故所欲有甚於生者,"[(222, 58), (255, 446)]",thị cố sở dục hữu thậm ư sinh giả,Thị Cố Sở Dục Hữu Thậm Ư Sinh Giả,"['是', '故', '所', '欲', '有', '甚', '於', '生', '者']","['thị', 'cố', 'sở', 'dục', 'hữu', 'thậm', 'ư', 'sinh', 'giả']"
81,4,所惡有甚於死者,"[(177, 59), (213, 360)]",sở ố hữu thậm ư tử giả,Sở Ố Hữu Thậm Ư Tử Giả,"['所', '惡', '有', '甚', '於', '死', '者']","['sở', 'ố', 'hữu', 'thậm', 'ư', 'tử', 'giả']"
81,5,排獨賢者有是心也,"[(134, 61), (164, 399)]",phi độc hiền giả hữu thị tâm dã,Phi Độc Hiền Giả Hữu Thị Tâm Dã,"['排', '獨', '賢', '者', '有', '是', '心', '也']","['phi', 'độc', 'hiền', 'giả', 'hữu', 'thị', 'tâm', 'dã']"
81,6,人皆有之,"[(87, 59), (124, 227)]",nhân giai hữu chi,Nhân Giai Hữu Chi,"['人', '皆', '有', '之']","['nhân', 'giai', 'hữu', 'chi']"
81,7,䝨者能勿䘮耳,"[(43, 57), (78, 320)]",hiền giả năng vật táng nhĩ,Hiền Giả Năng Vật Táng Nhĩ,"['䝨', '者', '能', '勿', '䘮', '耳']","['hiền', 'giả', 'năng', 'vật', 'táng', 'nhĩ']"
83,0,一簞食一旦業,"[(353, 56), (395, 361)]",nhất đan thực nhất đậu canh,Nhất Đan Thực Nhất Đậu Canh,"['一', '簞', '食', '一', '旦', '業']","['nhất', 'đan', 'thực', 'nhất', 'đậu', 'canh']"
83,1,得之則生𧖱得則死,"[(305, 55), (349, 456)]",đắc chi tắc sinh phất đắc tắc tử,Đắc Chi Tắc Sinh Phất Đắc Tắc Tử,"['得', '之', '則', '生', '𧖱', '得', '則', '死']","['đắc', 'chi', 'tắc', 'sinh', 'phất', 'đắc', 'tắc', 'tử']"
83,2,𡀯爾而唭之,"[(267, 56), (304, 270)]",hố nhĩ nhi dữ chi,Hố Nhĩ Nhi Dữ Chi,"['𡀯', '爾', '而', '唭', '之']","['hố', 'nhĩ', 'nhi', 'dữ', 'chi']"
83,3,行道之人𧖱受,"[(218, 57), (260, 319)]",hành đạo chi nhân phất thọ,Hành Đạo Chi Nhân Phất Thọ,"['行', '道', '之', '人', '𧖱', '受']","['hành', 'đạo', 'chi', 'nhân', 'phất', 'thọ']"
83,4,䜹爾面興之,"[(176, 54), (218, 271)]",xúc nhĩ nhi dữ chi,Xúc Nhĩ Nhi Dữ Chi,"['䜹', '爾', '面', '興', '之']","['xúc', 'nhĩ', 'nhi', 'dữ', 'chi']"
83,5,乞人不肩也,"[(133, 61), (167, 271)]",khuất nhân bất tiết dã,Khuất Nhân Bất Tiết Dã,"['乞', '人', '不', '肩', '也']","['khuất', 'nhân', 'bất', 'tiết', 'dã']"
83,6,萬鍾則不辨禮義而受之,"[(88, 58), (121, 492)]",vạn chung tắc bất biện lễ nghĩa nhi thọ chi,Vạn Chung Tắc Bất Biện Lễ Nghĩa Nhi Thọ Chi,"['萬', '鍾', '則', '不', '辨', '禮', '義', '而', '受', '之']","['vạn', 'chung', 'tắc', 'bất', 'biện', 'lễ', 'nghĩa', 'nhi', 'thọ', 'chi']"
83,7,萬鍾於我何加焉,"[(44, 58), (82, 369)]",vạn chung ư ngã hà gia yên,Vạn Chung Ư Ngã Hà Gia Yên,"['萬', '鍾', '於', '我', '何', '加', '焉']","['vạn', 'chung', 'ư', 'ngã', 'hà', 'gia', 'yên']"
85,0,爲宮室之美,"[(356, 57), (390, 274)]",vị cung thất chi mỹ,Vị Cung Thất Chi Mỹ,"['爲', '宮', '室', '之', '美']","['vị', 'cung', 'thất', 'chi', 'mỹ']"
85,1,妻妾之奉,"[(311, 55), (348, 232)]",thê thiếp chi phụng,Thê Thiếp Chi Phụng,"['妻', '妾', '之', '奉']","['thê', 'thiếp', 'chi', 'phụng']"
85,2,所識窮泛者得我與,"[(267, 61), (300, 407)]",sở thức cùng phạp giả đắc ngã dư,Sở Thức Cùng Phạp Giả Đắc Ngã Dư,"['所', '識', '窮', '泛', '者', '得', '我', '與']","['sở', 'thức', 'cùng', 'phạp', 'giả', 'đắc', 'ngã', 'dư']"
85,3,鄕爲身死而不受,"[(220, 58), (257, 360)]",hướng vị thân tử nhi bất thọ,Hướng Vị Thân Tử Nhi Bất Thọ,"['鄕', '爲', '身', '死', '而', '不', '受']","['hướng', 'vị', 'thân', 'tử', 'nhi', 'bất', 'thọ']"
85,4,令爲宮室之羡爲之,"[(178, 61), (211, 401)]",kim vi cung thất chi mỹ vi chi,Kim Vi Cung Thất Chi Mỹ Vi Chi,"['令', '爲', '宮', '室', '之', '羡', '爲', '之']","['kim', 'vi', 'cung', 'thất', 'chi', 'mỹ', 'vi', 'chi']"
85,5,鄕爲身死而不受,"[(133, 60), (166, 362)]",hướng vị thân tử nhi bất thọ,Hướng Vị Thân Tử Nhi Bất Thọ,"['鄕', '爲', '身', '死', '而', '不', '受']","['hướng', 'vị', 'thân', 'tử', 'nhi', 'bất', 'thọ']"
85,6,呐爲妻妾之奉爲之,"[(90, 60), (120, 400)]",kim vị thê thiếp chi phụng vi chi,Kim Vị Thê Thiếp Chi Phụng Vi Chi,"['呐', '爲', '妻', '妾', '之', '奉', '爲', '之']","['kim', 'vị', 'thê', 'thiếp', 'chi', 'phụng', 'vi', 'chi']"
85,7,鄕爲身死而不受,"[(45, 58), (78, 366)]",hướng vi thân tử nhi bất thọ,Hướng Vi Thân Tử Nhi Bất Thọ,"['鄕', '爲', '身', '死', '而', '不', '受']","['hướng', 'vi', 'thân', 'tử', 'nhi', 'bất', 'thọ']"
87,0,今爲所識窮泛者,"[(354, 68), (391, 372)]",kim vi sở thức cùng phạp giả,Kim Vi Sở Thức Cùng Phạp Giả,"['今', '爲', '所', '識', '窮', '泛', '者']","['kim', 'vi', 'sở', 'thức', 'cùng', 'phạp', 'giả']"
87,1,得我而爲之,"[(311, 68), (348, 283)]",đắc ngã nhi vi chi,Đắc Ngã Nhi Vi Chi,"['得', '我', '而', '爲', '之']","['đắc', 'ngã', 'nhi', 'vi', 'chi']"
87,2,是亦不呵以己乎,"[(270, 70), (300, 374)]",thị diệc bất khả dĩ dĩ hồ,Thị Diệc Bất Khả Dĩ Dĩ Hồ,"['是', '亦', '不', '呵', '以', '己', '乎']","['thị', 'diệc', 'bất', 'khả', 'dĩ', 'dĩ', 'hồ']"
87,3,此之調失其本心,"[(219, 68), (259, 368)]",thử chi vị thất kỳ bổn tâm,Thử Chi Vị Thất Kỳ Bổn Tâm,"['此', '之', '調', '失', '其', '本', '心']","['thử', 'chi', 'vị', 'thất', 'kỳ', 'bổn', 'tâm']"
87,4,孟子曰,"[(179, 70), (214, 192)]",mạnh tử viết,11 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
87,5,一人心也,"[(130, 67), (172, 287)]",nhân nhân tâm dã,Nhân Nhân Tâm Dã,"['一', '人', '心', '也']","['nhân', 'nhân', 'tâm', 'dã']"
87,6,鄕人路也,"[(85, 63), (129, 286)]",nghĩa nhân lộ dã,Nghĩa Nhân Lộ Dã,"['鄕', '人', '路', '也']","['nghĩa', 'nhân', 'lộ', 'dã']"
87,7,舍其路而錦由,"[(44, 68), (78, 325)]",xả kỳ lộ nhi phất do,Xả Kỳ Lộ Nhi Phất Do,"['舍', '其', '路', '而', '錦', '由']","['xả', 'kỳ', 'lộ', 'nhi', 'phất', 'do']"
89,0,放其心而不知求,"[(344, 51), (399, 366)]",phòng kỳ tâm nhi bất tri cầu,Phòng Kỳ Tâm Nhi Bất Tri Cầu,"['放', '其', '心', '而', '不', '知', '求']","['phòng', 'kỳ', 'tâm', 'nhi', 'bất', 'tri', 'cầu']"
89,1,哀哉,"[(304, 54), (355, 145)]",ai tai,Ai Tai,"['哀', '哉']","['ai', 'tai']"
89,2,人有難犬枚,"[(263, 59), (303, 277)]",nhân hữu kê khuyển phóng,Nhân Hữu Kê Khuyển Phóng,"['人', '有', '難', '犬', '枚']","['nhân', 'hữu', 'kê', 'khuyển', 'phóng']"
89,3,則知求之,"[(217, 58), (256, 226)]",tắc tri cầu chi,Tắc Tri Cầu Chi,"['則', '知', '求', '之']","['tắc', 'tri', 'cầu', 'chi']"
89,4,有放心,"[(175, 57), (213, 184)]",hữu phóng tâm,Hữu Phóng Tâm,"['有', '放', '心']","['hữu', 'phóng', 'tâm']"
89,5,而不知求,"[(127, 57), (171, 232)]",nhi bất tri cầu,Nhi Bất Tri Cầu,"['而', '不', '知', '求']","['nhi', 'bất', 'tri', 'cầu']"
89,6,𭓇問之道無他,"[(85, 55), (125, 318)]",học vấn chi đạo vô tha,Học Vấn Chi Đạo Vô Tha,"['𭓇', '問', '之', '道', '無', '他']","['học', 'vấn', 'chi', 'đạo', 'vô', 'tha']"
89,7,求其放慈而己矣,"[(44, 58), (79, 366)]",cầu kỳ phóng tâm nhi dĩ hỹ,Cầu Kỳ Phóng Tâm Nhi Dĩ Hỹ,"['求', '其', '放', '慈', '而', '己', '矣']","['cầu', 'kỳ', 'phóng', 'tâm', 'nhi', 'dĩ', 'hỹ']"
91,0,孟子曰,"[(351, 65), (393, 194)]",mạnh tử viết,12 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
