Page,Column,Transcription
181,2,眾 人 固 不 識 也 。
181,3,孟 子 曰 ：
181,4,五 霸 者 ，
181,5,三 王 之 罪 人 也 。
181,6,今 之 諸 侯 ，
181,7,五 霸 之 罪 人 也 。
183,0,今 之 大 夫 ，
183,1,今 之 諸 侯 之 罪 人 也 。
183,2,天 子 適 諸 侯 曰 巡 狩 ；
183,3,諸 侯 朝 於 天 子 曰 述 職 。
183,4,春 省 耕 而 補 不 足 ，
183,5,秋 省 斂 而 助 不 給 。
183,6,入 其 疆 ， 土 地 辟 ，
183,7,田 野 治 ， 養 老 ，
185,0,尊 賢 ， 俊 傑 在 位 ，
185,1,則 有 慶 ， 慶 以 地 。
185,2,入 其 疆 ， 土 地 荒 蕪 ，
185,3,遺 老 ， 失 賢 ，
185,4,掊 克 在 位 ， 則 有 讓 。
185,5,一 不 朝 ， 則 貶 其 爵 ；
185,6,再 不 朝 ， 則 削 其 地 ；
185,7,三 不 朝 ， 則 六 師 移 之 。
187,0,是 故 天 子 討 而 不 伐 ，
187,1,諸 侯 伐 而 不 討 。
187,2,五 霸 者 ，
187,3,摟 諸 侯 以 伐 諸 侯 者 也 ，
187,4,故 曰 五 霸 者 ，
187,5,三 王 之 罪 人 也 。
187,6,五 霸 ， 桓 公 為 盛 。
187,7,葵 丘 之 會 諸 侯 ，
189,0,束 牲 載 書 而 不 歃 血 。
189,1,初 命 曰 ：
189,2,誅 不 孝 ，
189,3,無 易 樹 子 ，
189,4,無 以 妾 為 妻 。
189,5,再 命 曰 ：
189,6,尊 賢 ， 育 才 ，
189,7,以 彰 有 德 。
191,0,三 命 曰 ：
191,1,敬 老 ， 慈 幼 ，
191,2,無 忘 賓 旅 。
191,3,四 命 曰 ：
191,4,士 無 世 官 ，
191,5,官 事 無 攝 ，
191,6,取 士 必 得 ，
191,7,無 專 殺 大 夫 。
193,0,五 命 曰 ：
193,1,無 曲 防 ， 無 遏 糴 ，
193,2,無 有 封 而 不 告 。
193,3,曰 凡 我 同 盟 之 人 ，
193,4,既 盟 之 後 ， 言 歸 于 好 。
193,5,今 之 諸 侯 ，
193,6,皆 犯 此 五 禁 。
193,7,故 曰 今 之 諸 侯 ，
195,0,五 霸 之 罪 人 也 。
195,1,長 君 之 惡 ， 其 罪 小 ；
195,2,逢 君 之 惡 ， 其 罪 大 。
195,3,今 之 大 夫 皆 逢 君 之 惡 ，
195,4,故 曰 今 之 大 夫 ，
195,5,今 之 諸 侯 之 罪 人 也 。
195,6,魯 欲 使 慎 子 為 將 軍 。
195,7,孟 子 曰 ：
197,0,不 教 民 而 用 之 ，
197,1,謂 之 殃 民 ， 殃 民 者 ，
197,2,不 容 於 堯 舜 之 世 。
197,3,一 戰 勝 齊 ， 遂 有 南 陽 ，
197,4,然 且 不 可 。
197,5,慎 子 勃 然 不 悅 ，
197,6,曰 此 則 滑 厘 所 不 識 也 。
197,7,曰 吾 明 告 子 ，
199,0,天 子 之 地 方 千 里 ；
199,1,不 千 里 ，
199,2,不 足 以 待 諸 侯 。
199,3,諸 侯 之 地 方 百 里 ；
199,4,不 百 里 ，
199,5,不 足 以 守 宗 廟 之 典 籍 。
199,6,周 公 之 封 於 魯 ，
199,7,為 方 百 里 也 ；
201,0,地 非 不 足 ，
201,1,而 儉 於 百 里 。
201,2,太 公 之 封 於 齊 也 ，
201,3,亦 為 方 百 里 也 ；
201,4,地 非 不 足 也 ，
201,5,而 儉 於 百 里 。
201,6,今 魯 方 百 里 者 五 ，
201,7,子 以 為 有 王 者 作 ，
203,0,則 魯 在 所 損 乎 ？
203,1,在 所 益 乎 ？
203,2,徒 取 諸 彼 以 與 此 ，
203,3,然 且 仁 者 不 為 ，
203,4,況 於 殺 人 以 求 之 乎 ？
203,5,君 子 之 事 君 也 ，
203,6,務 引 其 君 以 當 道 ，
203,7,志 於 仁 而 已 。
205,0,孟 子 曰 ：
205,1,今 之 事 君 者 ，
205,2,皆 曰 ：
205,3,我 能 為 君 辟 土 地 ，
205,4,充 府 庫 。
205,5,今 之 所 謂 良 臣 ，
205,6,古 之 所 謂 民 賊 也 。
205,7,君 不 鄉 道 ， 不 志 於 仁 ，
207,0,而 求 富 之 ， 是 富 桀 也 。
207,1,我 能 為 君 約 與 國 ，
207,2,戰 必 克 。
207,3,今 之 所 謂 良 臣 ，
207,4,古 之 所 謂 民 賊 也 。
207,5,君 不 鄉 道 ， 不 志 於 仁 ，
207,6,而 求 為 之 強 戰 ，
207,7,是 輔 桀 也 。
209,0,由 今 之 道 ，
209,1,無 變 今 之 俗 ，
209,2,雖 與 之 天 下 ，
209,3,不 能 一 朝 居 也 。
209,4,白 圭 曰 ：
209,5,吾 欲 二 十 而 取 一 ，
209,6,何 如 ？
209,7,孟 子 曰 ：
211,0,子 之 道 ， 貉 道 也 。
211,1,萬 室 之 國 ， 一 人 陶 ，
211,2,則 可 乎 ？
211,3,曰 不 可 ，
211,4,器 不 足 用 也 。
211,5,曰 夫 貉 ，
211,6,五 穀 不 生 ，
211,7,惟 黍 生 之 ， 無 城 郭 ，
213,0,宮 室 ， 宗 廟 ，
213,1,祭 祀 之 禮 ，
213,2,無 諸 侯 幣 帛 饔 飧 ，
213,3,無 百 官 有 司 ，
213,4,故 二 十 取 一 而 足 也 。
213,5,今 居 中 國 ，
213,6,去 人 倫 ， 無 君 子 ，
213,7,如 之 何 其 可 也 ？
215,0,陶 以 寡 ，
215,1,且 不 可 以 為 國 ，
215,2,況 無 君 子 乎 ？
215,3,欲 輕 之 於 堯 舜 之 道 者 ，
215,4,大 貉 ， 小 貉 也 ；
215,5,欲 重 之 於 堯 舜 之 道 者 ，
215,6,大 桀 ，
215,7,小 桀 也 。
217,0,白 圭 曰 ：
217,1,丹 之 治 水 也 愈 於 禹 。
217,2,孟 子 曰 ： 子 過 矣 。
217,3,禹 之 治 水 ， 水 之 道 也 。
217,4,是 故 禹 以 四 海 為 壑 。
217,5,今 吾 子 以 鄰 國 為 壑 。
217,6,水 逆 行 ， 謂 之 洚 水 ；
217,7,洚 水 者 ， 洪 水 也 ，
219,0,仁 人 之 所 惡 也 。
219,1,吾 子 過 矣 。
219,2,孟 子 曰 ：
219,3,君 子 不 亮 ， 惡 乎 執 ？
219,4,魯 欲 使 樂 正 子 為 政 。
219,5,孟 子 曰 ：
219,6,吾 聞 之 ，
219,7,喜 而 不 寐 。
221,0,公 孫 丑 曰 ：
221,1,樂 正 子 強 乎 ？
221,2,曰 否 。
221,3,有 知 慮 乎 ？
221,4,曰 否 。
221,5,多 聞 識 乎 ？
221,6,曰 否 。
221,7,然 則 奚 為 喜 而 不 寐 。
223,0,曰 其 為 人 也 好 善 。
223,1,好 善 足 乎 ？
223,2,曰 好 善 優 於 天 下 ，
223,3,而 況 魯 國 乎 ？
223,4,夫 茍 好 善 ，
223,5,則 四 海 之 內 ，
223,6,皆 將 輕 千 里
223,7,而 來 告 之 以 善 。
225,0,夫 茍 不 好 善 ，
225,1,則 人 將 曰 ：
225,2,訑 訑 ， 予 既 已 知 之 矣 。
225,3,訑 訑 之 聲 音 顏 色 ，
225,4,距 人 於 千 里 之 外 。
225,5,士 止 於 千 里 之 外 ，
225,6,則 讒 諂 面 諛 之 人 至 矣 。
225,7,與 讒 諂 面 諛 之 人 居 ，
227,0,國 欲 治 ，
227,1,可 得 乎 ？
227,2,陳 子 曰 ：
227,3,古 之 君 子 ， 何 如 則 仕 ？
227,4,孟 子 曰 ：
227,5,所 就 三 ， 所 去 三 。
227,6,迎 之 致 敬 以 有 禮 ，
227,7,言 將 行 其 言 也 ，
229,0,則 就 之 ；
229,1,禮 貌 未 衰 ，
229,2,言 弗 行 也 ， 則 去 之 。
229,3,其 次 ， 雖 未 行 其 言 也 ，
229,4,迎 之 致 敬 以 有 禮 ，
229,5,則 就 之 ；
229,6,禮 貌 衰 ， 則 去 之 。
229,7,其 下 ，
231,0,朝 不 食 ， 夕 不 食 ，
231,1,饑 餓 不 能 出 門 戶 ；
231,2,君 聞 之 ，
231,3,曰 吾 大 者 不 能 行 其 道 ，
231,4,又 不 能 從 其 言 也 ，
231,5,使 饑 餓 於 我 土 地 ，
231,6,吾 恥 之 。
231,7,周 之 ， 亦 可 受 也 ，
233,0,免 死 而 已 矣 。
233,1,孟 子 曰 ：
233,2,舜 發 於 畎 畝 之 中 ，
233,3,傅 說 舉 於 版 筑 之 間 ，
233,4,膠 鬲 舉 於 魚 鹽 之 中 ，
233,5,管 夷 吾 舉 於 士 ，
233,6,孫 叔 敖 舉 於 海 ，
233,7,百 里 奚 舉 於 市 。
235,0,故 天 將 降 大 任 於 是 人 也 ，
235,1,必 先 苦 其 心 志 ，
235,2,勞 其 筋 骨 ， 餓 其 體 膚 ，
235,3,空 乏 其 身 ，
235,4,行 拂 亂 其 所 為 ；
235,5,所 以 動 心 忍 性 ，
235,6,曾 益 其 所 不 能 。
235,7,人 恒 過 ， 然 後 能 改 。
237,0,困 於 心 ， 衡 於 慮 ，
237,1,而 後 作 。
237,2,徵 於 色 ， 發 於 聲 ，
237,3,而 後 喻 。
237,4,入 則 無 法 家 拂 士 ，
237,5,出 則 無 敵 國 外 患 者 ，
237,6,國 恒 亡 。
237,7,然 後 知 生 於 憂 患 ，
239,0,而 死 於 安 樂 也 。
239,1,孟 子 曰 ：
239,2,教 亦 多 術 矣 。
239,3,予 不 屑 之 教 誨 也 者 ，
239,4,是 亦 教 誨 之 而 已 矣 。
