Page,Column,Transcription,Translation
71,3,Kim Phù Dịch Chi Vi Số,"Nay ta lấy kỹ thuật đánh cờ ví dụ,"
71,4,Tiểu Số Dã,"Đó là một thuật nhỏ,"
71,5,Bất Chuyên Tâm Trí Chí,"Nhưng nếu không chuyên tâm hướng chí vào tính toán,"
71,6,Tắc Bất Đắc Dã,Thì không bao giờ giỏi được.
71,7,Dịch Thu,"Ông Dịch Thu,"
73,0,Thông Quốc Chi Thiện Dịch Giả Dã,Là người đánh cờ giỏi nhất nước.
73,1,Sử Dịch Thu Hối Nhị Nhân Dịch,Như khiến ông Dịch Thu nhận dạy hai người học đánh cờ :
73,2,Kỳ Nhất Nhân Chuyên Tâm Trí Chí,"* Một người học thì chuyên tâm hướng chí,"
73,3,Duy Dịch Thu Chi Vi Thính,Vào những lời ông Dịch Thu dạy;
73,4,Nhất Nhân Tuy Thính Chi,"* Một người học tuy có nghe dạy,"
73,5,Nhất Tâm Dĩ Vi Hữu Hồng Hộc Tương Chí,"Nhưng một lòng chỉ nghĩ về đàn chim hồng, chim hộc sắp bay đến,"
73,6,Tư Viên Cung Chước Nhi Xạ Chi,Nghĩ xem làm sao giương cung bắn trúng chim.
73,7,Tuy Dữ Chi Cụ Học,"Mặc dù hai người này cùng học một thầy,"
75,0,Phất Nhược Chi Hỹ,Nhưng kết quả hoàn toàn khác nhau.
75,1,Vị Thị Kỳ Trí Phất Nhược Dư,Đó có phải là sự hiểu biết của hai người họ khác nhau chăng ?
75,2,Viết Phi Nhiên Dã,Ta nói : không phải vậy.
75,3,10 Mạnh Tử Viết,10.Thầy Mạnh Tử nói rằng :
75,4,Ngư Ngã Sở Dục Dã,Cá là món ăn ưa thích của ta ;
75,5,Hùng Chưởng Diệc Ngã Sở Dục Dã,Tay gấu cũng là món ăn ưa thích của ta.
75,6,Nhị Giả Bất Khả Đắc Kiêm,"Nếu không thể chọn cả hai món đó,"
75,7,Xả Ngư Nhi Thủ Hùng Chưởng Giả Dã,Thì ta bỏ món cá mà chọn món tay gấu.
77,0,Sinh Diệc Ngã Sở Dục Dã,Sự sống cũng là điều ta mong muốn ;
77,1,Nghĩa Diệc Ngã Sở Dục Dã,Việc nghĩa cũng là điều ta mong muốn.
77,2,Nhị Giả Bất Khả Đắc Kiêm,"Nếu không thể chọn cả hai điều đó,"
77,3,Xả Sinh Nhi Thủ Nghĩa Giả Dã,Thì ta bỏ sự sống mà chọn việc nghĩa.
77,4,Sinh Diệc Ngã Sở Dục,"Sự sống là điều ta mong muốn,"
77,5,Sở Dục Hữu Thậm Ư Sinh Giả,"Nhưng cũng có những thứ còn quan trọng hơn sự sống nữa (danh dự),"
77,6,Cố Bất Vi Cẩu Đắc Dã,Nên ta không thể cẩu thả để được sống (nhục nhã).
77,7,Tử Diệc Ngã Sở Ố,"Cái chết là điều ta căm ghét,"
79,0,Sở Ố Hữu Thậm Ư Tử Giả,"Nhưng cũng có những thứ ta còn căm ghét hơn cái chết nữa,"
79,1,Cố Hoạn Hữu Sở Bất Tỵ Dã,Nên dù có tai họa đến ta cũng không trốn tránh.
79,2,Như Sử Nhân Chi Sở Dục Mạc Thậm Ư Sinh,"Như lòng dục của người thì không gì bằng lòng muốn được sống,"
79,3,Tắc Phàm Khả Dĩ Đắc Sinh Giả,"Nên phàm việc gì có thể bảo tồn mạng sống,"
79,4,Hà Bất Dụng Dã,lẽ nào họ không tận dụng sao ?
79,5,Sử Nhân Chi Sở Ố Mạc Thậm Ư Tử Giả,"Giả sử lòng căm ghét của người không gì thậm tệ bằng cái chết,"
79,6,Tắc Phàm Khả Dĩ Tỵ Hoạn Giả,"Nên phàm việc gì có thể tránh khỏi tai họa,"
79,7,Hà Bất Vi Dã,lẽ nào họ không làm sao ?
81,0,Do Thị Tắc Sinh Nhi Hữu Bất Dụng Dã,"Có cơ hội được sống mà chẳng sử dụng đến,"
81,1,Do Thị Tắc Khả Dĩ Tỵ Hoạn,Có cách để tránh khỏi tai họa
81,2,Nhi Hữu Bất Vi Dã,mà không chịu làm.
81,3,Thị Cố Sở Dục Hữu Thậm Ư Sinh Giả,"Vì thế có những điều ham muốn còn quan trọng hơn sự sống (danh dự),"
81,4,Sở Ố Hữu Thậm Ư Tử Giả,"Có những điều căm ghét còn hơn cái chết nữa (nhục nhã),"
81,5,Phi Độc Hiền Giả Hữu Thị Tâm Dã,"Không chỉ riêng bậc thánh hiền mới có tấm lòng như thế,"
81,6,Nhân Giai Hữu Chi,"Mà mọi người đều có cả,"
81,7,Hiền Giả Năng Vật Táng Nhĩ,Nên bậc hiền nhân thì không để tấm lòng ấy mất đi.
83,0,Nhất Đan Thực Nhất Đậu Canh,"(như kẻ đói gặp người cho) một giỏi cơm, một bát canh,"
83,1,Đắc Chi Tắc Sinh Phất Đắc Tắc Tử,"Ăn thì được sống, không ăn thì chết."
83,2,Hố Nhĩ Nhi Dữ Chi,"Nhưng người cho mà hắt hủi chửi bới khi đem cho,"
83,3,Hành Đạo Chi Nhân Phất Thọ,Thì kẻ đói đi ngoài đường ấy (cũng) chẳng thèm nhận ;
83,4,Xúc Nhĩ Nhi Dữ Chi,"Cho người mà còn chà đạp nữa,"
83,5,Khuất Nhân Bất Tiết Dã,Thì đến kẻ ăn xin cũng chẳng thèm lấy.
83,6,Vạn Chung Tắc Bất Biện Lễ Nghĩa Nhi Thọ Chi,"Vua tặng ta 10 vạn chung thóc chưa phân biệt có hợp lễ nghĩa mà lại nhận,"
83,7,Vạn Chung Ư Ngã Hà Gia Yên,Vậy 10 vạn chung thóc ấy có giúp ta thêm được gì không ?
85,0,Vị Cung Thất Chi Mỹ,"Nhận để xây nhà cửa đẹp đẽ,"
85,1,Thê Thiếp Chi Phụng,"Để cưới thêm thê thiếp phụng sự,"
85,2,Sở Thức Cùng Phạp Giả Đắc Ngã Dư,Hay nhận để cứu người quen biết cùng khổ cho họ như ta chăng ?
85,3,Hướng Vị Thân Tử Nhi Bất Thọ,"Trước đây gặp cảnh cùng sắp chết ta cũng chẳng nhận của trái lễ,"
85,4,Kim Vi Cung Thất Chi Mỹ Vi Chi,Nay chịu nhận để xây nhà cửa đẹp đẽ sao ?
85,5,Hướng Vị Thân Tử Nhi Bất Thọ,"Trước đây gặp cảnh cùng sắp chết ta cũng chẳng nhận của trái lễ,"
85,6,Kim Vị Thê Thiếp Chi Phụng Vi Chi,Nay chịu nhận để cưới thêm thê thiếp phụng sự sao ?
85,7,Hướng Vi Thân Tử Nhi Bất Thọ,"Trước đây gặp cảnh cùng sắp chết ta cũng chẳng nhận của trái lễ,"
87,0,Kim Vi Sở Thức Cùng Phạp Giả,Nay chịu nhận để cứu những người quen biết cùng khổ
87,1,Đắc Ngã Nhi Vi Chi,cho họ như ta chăng ?
87,2,Thị Diệc Bất Khả Dĩ Dĩ Hồ,Những điều (ham muốn) ấy không thể trừ bỏ được sao ?
87,3,Thử Chi Vị Thất Kỳ Bổn Tâm,(không trừ bỏ) ấy gọi là đánh mất bản tâm của mình đi vậy.
87,4,11 Mạnh Tử Viết,11.Thầy Mạnh Tử nói rằng :
87,5,Nhân Nhân Tâm Dã,"Việc nhân, đó lương tâm của người."
87,6,Nghĩa Nhân Lộ Dã,"Việc nghĩa, đó là con đường đi của người."
87,7,Xả Kỳ Lộ Nhi Phất Do,"Bỏ con đường đó mà chẳng theo,"
89,0,Phòng Kỳ Tâm Nhi Bất Tri Cầu,"Đánh mất lương tâm mà không biết tìm lại,"
89,1,Ai Tai,Thật đáng thương thay !
89,2,Nhân Hữu Kê Khuyển Phóng,"Người ta có con gà, con chó chạy mất,"
89,3,Tắc Tri Cầu Chi,"Thì biết tìm lại,"
89,4,Hữu Phóng Tâm,"Còn lương tâm đánh mất,"
89,5,Nhi Bất Tri Cầu,mà không biết tìm lại.
89,6,Học Vấn Chi Đạo Vô Tha,"Học đạo chẳng có cái gì khác,"
89,7,Cầu Kỳ Phóng Tâm Nhi Dĩ Hỹ,Là tìm cái lương tâm mình đã đánh mất mà thôi.
91,0,12 Mạnh Tử Viết,12.Thầy Mạnh Tử nói rằng :
91,1,Kim Hữu Vô Danh Chi Chỉ,"Ví như hiện nay có người bị tật ngón tay vô danh (ngón đeo nhẫn),"
91,2,Khuất Nhi Bất Tín,"Co lại mà không duỗi thẳng ra được,"
91,3,Phi Tật Thống Hại Sự Dã,Và nó chẳng phải là bệnh tật gì hại đến công việc đang làm.
91,4,Như Hữu Năng Thân Chi Giả,"Nhưng nếu có cách gì làm cho ngón tay duổi thẳng ra được,"
91,5,Tắc Bất Viễn Tần Sở Chi Lộ,"Thì dù phải đi sang nước Tần, nước Sở thì người ấy chẳng cho là xa,"
91,6,Vi Chỉ Chi Bất Nhược Nhân Dã,Đó là vì ngón tay vô danh không bằng người vậy.
91,7,Chỉ Bất Nhược Nhân Tắc Tri Ố Chi,"Việc ngón tay không bằng người, thì biết căm ghét ;"
93,0,Tâm Bất Nhược Nhân Tắc Bất Như Ố,"Còn việc tâm lượng không bằng người, thì không biết căm ghét ;"
93,1,Thử Chi Vị Bất Tri Loại Dã,"Đó gọi là không biết phân loại giá trị (cao thấp, nặng nhẹ) vậy."
93,2,13 Mạnh Tử Viết,13.Thầy Mạnh Tử nói rằng :
93,3,Cũng Bả Chi Đồng Tử,"Cây ngô đồng, cây tử có thể dùng hai tay ôm được,"
93,4,Nhân Cẩu Dục Sinh Chi,"Người ta muốn chúng sinh trưởng tốt,"
93,5,Giai Tri Sở Dĩ Dưỡng Chi Giả,Thì đều biết cách chăm sóc chúng.
93,6,Chí Ư Thân,"Đến cái thân thể này,"
93,7,Nhi Bất Tri Sở Dĩ Dưỡng Chi Giả,"Mà (người) lại không biết cách chăm sóc,"
95,0,Khởi Ái Thân Bất Nhược Đồng,"Lẽ nào (người) yêu tấm thân này không bằng cây ngô đồng,"
95,1,Tử Tai,Cây tử sao ?
95,2,Phất Tư Thậm Dã,Đó là (người) suy nghĩ chưa kỹ lưỡng vậy.
95,3,14 Mạnh Tử Viết,14.Thầy Mạnh Tử nói rằng :
95,4,Nhân Chi Ư Thân Dã,"Con người đối với thân thể mình,"
95,5,Kiêm Sở Ái,Thì bộ phận gì cũng yêu quý ;
95,6,Kiêm Sở Ái Tắc Kiêm Sở Dưỡng Dã,Bởi vì có yêu quý nên mới biết chăm sóc.
95,7,Vô Xích Thốn Chi Phu Bất Ái Yên,"Không một tấc da nào mà không yêu quý,"
97,0,Tắc Vô Xích Thốn Chi Phu Bất Dưỡng Dã,Nên không có một tấc da nào mà không chăm sóc.
97,1,Sở Dĩ Khảo Kỳ Thiện Bất Thiện Giả,"Muốn khảo xét việc đó phải hay không phải,"
97,2,Khởi Hữu Tha Tai,Làm thế nào để biết được ?
97,3,Ư Kỷ Thủ Chi Nhi Dĩ Hỹ,Lấy chính mình ra khảo xét mà thôi.
97,4,Thể Hữu Quý Tiện Hữu Tiểu Đại,"Trong thân thể có phần quý, phần hèn, có phần nhỏ, phần lớn."
97,5,Vô Dĩ Tiểu Hại Đại,"Không vì phần nhỏ (thể xác) mà hại đến phần lớn (tâm hồn),"
97,6,Vô Dĩ Tiện Hại Quý,Không vì phần hèn (thân thể) mà hại đến phần quý (tinh thần).
97,7,Dưỡng Kỳ Tiểu Giả Vi Tiểu Nhân,Chỉ biết chăm sóc phần nhỏ (thể xác) của mình là kẻ tiểu nhân.
99,0,Dưỡng Kỳ Đại Giả Vi Đại Nhân,Chăm sóc phần lớn (tâm hồn) của mình là bậc đại nhân.
99,1,Kim Hữu Trường Sư,"Nay có vị quan về nông nghiệp,"
99,2,Xả Kỳ Ngô Giả,"Bỏ cây ngô đồng, cây giả có giá trị,"
99,3,Dưỡng Kỳ Nhị Cức,"Mà trồng cây nhị, cây gai không có giá trị,"
99,4,Tắc Vi Tiện Trường Sư Yên,Đó là vị quan nông nghiệp kém cỏi.
99,5,Dưỡng Kỳ Nhất Chỉ,"Cũng như có người chỉ biết chăm sóc một ngón tay,"
99,6,Nhi Thất Kỳ Kiên Bối,"Mà chẳng lo đến vai và lưng của mình,"
99,7,Nhi Bất Tri Dã,"Làm thế mà còn không biết,"
101,0,Tắc Vi Lang Tật Nhân Dã,Thì đó là loại người bệnh hoạn như con chó sói.
101,1,Ẩm Thực Chi Nhân,"Kẻ chỉ biết đến ăn uống,"
101,2,Tắc Nhân Tiện Chi Hỹ,"Thì sẽ bị người ta coi thường,"
101,3,Vi Kỳ Dưỡng Tiểu Dĩ Thất Đại Dã,Đó là chỉ biết chăm sóc phần nhỏ (thể xác) mà để mất phần lớn (tâm hồn).
101,4,ẩm Thực Chi Nhân,"Còn người ăn uống chỉ để,"
101,5,Vô Hữu Thất Dã,"Không mất cái có (phần lớn),"
101,6,Tắc Khẩu Phúc,"Thì cái miệng, cái bụng"
101,7,Khởi Thích Vi Xích Thốn Chi Phu Tai,(ăn uống để nuôi thân thể)
103,0,15 Công Đô Tử Vấn Viết,15.Học trò Công Đô Tử hỏi rằng :
103,1,Quân Thị Nhân Dã Hoặc Vi Đại Nhân,"Đều là người như nhau, có người làm bậc đại nhân,"
103,2,Hoặc Vi Tiểu Nhân Hà Dã,"Có người làm kẻ tiểu nhân, thưa thầy là vì sao ?"
103,3,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
103,4,Tòng Kỳ Đại Thể Vi Đại Nhân,"Người theo cái phần đại thể (tâm hồn) thì thành bậc đại nhân,"
103,5,Tòng Kỳ Tiểu Thể Vi Tiểu Nhân,Người theo cái phần tiểu thể (thân thể) thì thành kẻ tiểu nhân.
103,6,Viết Quân Thị Nhân Dã,"Công Đô Tử hỏi : đều là người như nhau,"
103,7,Hoặc Tòng Kỳ Đại Thể,"Có người theo cái phần đại thể (tâm hồn),"
105,0,Hoặc Tòng Kỳ Tiểu Thể,"Lại có người theo cái phần tiểu thể (thân thể),"
105,1,Hà Dã,thưa thầy là vì sao ?
105,2,Viết Nhĩ Mục Chi Quan Bất Tư,"Thầy Mạnh Tử đáp : tai, mắt là cơ quan không biết suy nghĩ,"
105,3,Nhi Tế Ư Vật,rất đễ bị sự vật che lấp (mê hoặc).
105,4,Vật Giao Vật,"Khi (tai, mắt) giao tiếp với sự vật bên ngoài,"
105,5,Tắc Dẫn Chi Nhi Dĩ Hỹ,Thì bị sự vật dẫn dắt (mê hoặc) mà thôi.
105,6,Tâm Chi Quan Tắc Tư,Tâm hồn là cơ quan biết suy nghĩ ;
105,7,Tư Tắc Đắc Chi,"Dùng nó suy nghĩ thì đạt được (đạo lý),"
107,0,Bất Tư Tắc Bất Đắc Dã,Chẳng dùng nó suy nghĩ thì không đạt được (đạo lý).
107,1,Thử Thiên Chi Sở Dữ Ngã Giả,"Tất cả các cơ quan ấy là những thứ trời ban cho ta,"
107,2,Tiên Lập Hồ Kỳ Đại Giả,"Nếu ta biết tạo dựng cái phần phần đại thể (tâm hồn) trước,"
107,3,Tắc Kỳ Tiểu Giả Bất Năng Đoạt Dã,Thì cái phần tiểu thể (thân thể) không thể tranh đoạt được.
107,4,Thử Vi Đại Nhân Nhi Dĩ Hỹ,Làm được điều ấy thì thành bậc đại nhân vậy.
107,5,16 Mạnh Tử Viết,16.Thầy Mạnh Tử nói rằng :
107,6,Hữu Thiên Tước Giả Hữu Nhân Tước Giả,(Tước vị) Có
107,7,Nhân Nghĩa Trung Tín Lạc Thiện Bất Quyện,thiên tước
109,0,Thử Thiên Tước Dã,đó gọi là thiên tước.
109,1,Công Khanh Đại Phu,"các bậc quan Công, Khanh, Đại Phu,"
109,2,Thử Nhân Tước Dã,đó gọi là nhân tước.
109,3,Cổ Chi Nhân,"Người đời xưa,"
109,4,Tu Kỳ Thiên Tước Nhi Nhân Tước Tòng Chi,tu sửa thiên tước của mình mà nhân tước tự nhiên theo đến.
109,5,Kim Chi Nhân,"Người đời nay,"
109,6,Tu Kỳ Thiên Tước Dĩ Yêu Nhân Tước,Tu sửa thiên tước của mình để yêu cầu được nhân tước.
109,7,Ký Đắc Nhân Tước Nhi Khí Kỳ Thiên Tước,"Một khi đã có được nhân tước thì họ liền vứt bỏ thiên tước của mình,"
111,0,Tắc Hoặc Chi Thậm Giả Dã,"Đó thật là việc làm mê lầm hồ đồ,"
111,1,Chung Diệc Tất Vong Nhi Dĩ Hỹ,Cuối cùng thì họ cũng mất đi hết tất cả mà thôi.
111,2,17 Mạnh Tử Viết,17.Thầy Mạnh Tử nói rằng :
111,3,Dục Quý Giả,"Ham muốn điều quý cho mình,"
111,4,Nhân Chi Đồng Tâm Dã,"Đó là lòng mong muốn chung của mọi người,"
111,5,Nhân Nhân Hữu Quý Ư Kỷ Giả,"Người người ai cũng có điều quý nơi mình (nhân nghĩa),"
111,6,Phất Tư Nhĩ Hỹ,Tại họ không nghĩ đến thôi.
111,7,Nhân Chi Sở Quý Giả,"Điều mà người ta đang quý,"
113,0,Phi Lương Quý Dã,Đó chẳng phải là điều quý thật sự.
113,1,Triệu Mạnh Chi Sở Quý,"Cái điều mà (quan đại phu) Triệu Mạnh cho là tôn quý,"
113,2,Triệu Mạnh Năng Tiện Chi,Thì sau này ông Triệu Mạnh có thể cho là thấp hèn.
113,3,Thi Vân,Kinh Thi viết rằng :
113,4,Ký Túy Dĩ Tửu Ký Bão Dĩ Đức,"“Rượu làm ta say, Đức làm ta no.”"
113,5,Ngôn Bão Hồ Nhân Nghĩa Dã,"Ý muốn nói no là nhờ nhân nghĩa vậy,"
113,6,Sở Dĩ Bất Nguyện Nhân Chi,Đó là lý do người ta không mong muốn
113,7,Cao Lương Chi Vị Dã,ăn cao lương mỹ vị của kẻ khác.
115,0,Lệnh Văn Quảng Dự Thi Ư Thân,"(khi có nhân nghĩa rồi) thì tiếng tăm bản thân được vang đi xa,"
115,1,Sở Dĩ Bất Nguyện Nhân Chi Văn Tú Dã,Nên chẳng mong muốn vẻ đẹp (tôn quý) mà người ban cho vậy.
115,2,18 Mạnh Tử Viết,18.Thầy Mạnh Tử nói rằng :
115,3,Nhân Chi Thắng Bất Nhân Dã,"Điều nhân thắng điều bất nhân,"
115,4,Do Thủy Chi Thắng Hỏa,Như nước thắng lửa.
115,5,Kim Chi Vi Nhân Giả,"Ngày nay người ta làm điều nhân,"
115,6,Do Dĩ Nhất Bôi Thủy,Như là lấy một chén nước
115,7,Cứu Nhất Xa Tân Chi Hỏa Dã,Để dập tắt lửa của một xe củi đang cháy vậy.
117,0,Bất Tức,"Thấy chẳng dập tắt được lửa,"
117,1,Tắc Vị Chi Thủy Bất Thắng Hỏa,Thì bảo rằng nước không thể thắng được lửa.
117,2,Thử Hựu Dữ Ư Bất Nhân Chi Thậm Giả Dã,"Nói như vậy là giúp cho điều bất nhân ngày càng nhiều thêm,"
117,3,Diệc Chung Tất Vong Nhi Dĩ Hỹ,Chung cuộc thì cũng đánh mất điều nhân luôn mà thôi.
117,4,19 Mạnh Tử Viết,19.Thầy Mạnh Tử nói rằng :
117,5,Ngũ Cốc Giả,"Năm loại lúa,"
117,6,Chủng Chi Mỹ Giả Dã,"Là thứ giống tốt đẹp (quan trọng),"
117,7,Cẩu Vi Bất Thục Bất Như Đề Bái,"Nhưng nếu chúng không kết hạt chín, thì chẳng bằng như cỏ đề bái."
119,0,Phù Nhân Diệc Tại Hồ Thục Chi Nhi Dĩ Hỹ,Này điều nhân cũng ở tại sự kết hạt chín mùi mà thôi.
119,1,20 Mạnh Tử Viết,20.Thầy Mạnh Tử nói rằng :
119,2,Nghệ Chi Giáo Dân Xạ,"Ông Hậu Nghệ dạy người học bắn cung,"
119,3,Tất Chí Ư Cấu,ắt sẽ nói phải để hết tâm chí vào đích cung ;
119,4,Học Giả Diệc Tất Chí Ư Cấu,người học ắt cũng phải để hết tâm chí vào đích cung.
119,5,Đại Tượng Hối Nhân Tất Dĩ Qui Củ,"Người thợ mộc giỏi khi dạy người, ắt sẽ nói phải dùng thước vuông, tròn ;"
119,6,Học Giả Diệc Tất Dĩ Qui Củ,"Người học ắt cũng phải dùng thước vuông, tròn."
121,0,Đệ Thập Nhị Chương Cáo Tử Hạ,CHƯƠNG XII : CÁO TỬ HẠ
121,1,1 Nhâm Nhân Hữu Vấn Ốc Lư Tử Viết,1.Người nước Nhâm hỏi người học trò Ốc Lư Tử rằng :
121,2,Lễ Dữ Thực Thục Trọng,Lễ và thức ăn thứ nào quan trọng ?
121,3,Viết Lễ Trọng,Ốc Lư Tử đáp : lễ quan trọng.
121,4,Sắc Dữ Lễ Thục Trọng,Người nước Nhâm hỏi : sắc đẹp và lễ thứ nào quan trọng ?
121,5,Viết Lễ Trọng,Ốc Lư Tử đáp : lễ quan trọng.
121,6,Viết Dĩ Lễ Thực Tắc Cơ Nhi Tử,"Người nước Nhâm hỏi : nếu giữ lễ mới được ăn thì bị đói chết,"
121,7,Bất Dĩ Lễ Thực Tắc Đắc Thực,"Không giữ lễ mà ăn thì được no không chết,"
123,0,Tất Dĩ Lễ Hồ,Vậy ta có nên giữ lễ không ?
123,1,Thân Nghênh Tắc Bất Đắc Thê,"Nếu giữ lễ đón dâu thì không lấy được vợ,"
123,2,Bất Thân Nghênh Tắc Đắc Thê,"Không giữ lễ đón dâu thì lấy được vợ,"
123,3,Tất Thân Nghênh Hồ,Vậy ta có nên giữ lễ không ?
123,4,Ốc Lư Tử Bất Năng Đối,Ốc Lư Tử không thể trả lời được câu hỏi ấy.
123,5,Minh Nhật Chi Trâu Dĩ Cáo Mạnh Tử,Ngày hôm sau đi sang nước Trâu để hỏi thầy Mạnh Tử.
123,6,Mạnh Tử Viết,Thầy Mạnh Tử nói rằng :
123,7,Ư Đáp Thị Dã Hà Hữu,Trả lời mấy hỏi ấy có gì khó đâu ?
125,0,Bất Sủy Kỳ Bổn Nhi Tề Kỳ Bổn,"Nếu không đánh giá phần gốc, mà đem so bằng với phần ngọn,"
125,1,Phương Thốn Chi Mộc Khả Sử Cao Ư Sầm Lâu,"Thì như khúc gỗ vuông một tấc đôn lên thì cho cao hơn cái nhà lầu ư,"
125,2,Kim Trọng Ư Vũ Giả,"Như kim loại thì nặng hơn lông chim,"
125,3,Khởi Vị Nhất Câu Kim,Nhưng há một cây kim nhỏ
125,4,Dữ Nhất Dư Vũ Chi Vị Tai,Lại bằng với một xe chở đầy lông chim sao ?
125,5,Thủ Thực Chi Trọng Giả,* Lấy phần quan trọng của thức ăn
125,6,Dữ Lễ Chi Khinh Giả,với phần nhẹ của lễ
125,7,Nhi Tỷ Hề Chi Sí Thực Trọng,mà đem ra so sánh thì thức ăn quan trọng hơn đó ư ?
127,0,Thủ Sắc Chi Trọng Giả,* Lấy phần quan trọng của sắc đẹp
127,1,Dữ Lễ Chi Khinh Giả,Với phần nhẹ của lễ
127,2,Nhi Tỷ Chi Hề Sí Sắc Trọng,mà đem ra so sánh thì sắc đẹp quan trọng hơn đó ư ?
127,3,Vãng Ứng Chi Viết,Trò hãy trở về nói với người nước Nhâm rằng :
127,4,Chẩn Huynh Chi Tý Nhi Đoạt Chi Thực,"Vặn tay của anh lại để lấy thức ăn,"
127,5,Tắc Đắc Thực,"Thì được ăn,"
127,6,Bất Chẩn Tắc Bất Đắc Thực,"Không vặn tay lại thì không được ăn,"
127,7,Tắc Tương Chẩn Chi Hồ,Liệu huynh có chịu vặn tay lại không ?
129,0,Du Đông Gia Tường Nhi Lâu Kỳ Xử Tử,"Trèo tường phía đông bắt cóc con gái nhà người,"
129,1,Tắc Đắc Thê,"Thì cưới được vợ,"
129,2,Bất Lâu Tắc Bất Đắc Thê,"Không bắt cóc con gái nhà người thì không cưới được vợ,"
129,3,Tắc Tương Thê Chi Hồ,Liệu huynh có chịu bắt cóc con gái nhà người ta không ?
129,4,2 Tào Giao Vấn Viết,2.Ông Tào Giao Tử hỏi rằng :
129,5,Nhân Giai Khả Dĩ Vi Nghiêu Thuấn,"Người ta ai cũng có thể làm vua Nghiêu, vua Thuấn,"
129,6,Hữu Chư,Có phải vậy chăng ?
129,7,Mạnh Tử Viết Nhiên,Thầy Mạnh Tử đáp : đúng vậy.
131,0,Giao Văn Văn Vương Thập Xích,"Giao tôi nghe nói vua Văn Vương cao 10 thước (khoảng 2m),"
131,1,Thang Cửu Xích,"Vua Thành Thang cao 9 thước (khoảng 1m80),"
131,2,Kim Giao Cửu Xích Tứ Thốn Dĩ Trường,"Nay Giao tôi cao 9 thước 4 tấc (khoảng 1m88),"
131,3,Thực Túc Nhi Dĩ,"Chỉ biết ăn cơm thôi,"
131,4,Như Hà Tắc Khả,Như thế thì sao có thể như các vị ấy ?
131,5,Viết Hề Hữu Ư Thị,Thầy Mạnh Tử đáp :
131,6,Diệc Vi Chi Nhi Dĩ Hỹ,Việc đó có liên quan gì sao ?
131,7,Hữu Nhân Ư Thử,do ông có chịu làm hay không mà thôi.
133,0,Lực Bất Năng Thắng Nhất Thất Sồ,"Sức lực không thể nhấc nổi một con gà nhỏ,"
133,1,Tắc Vi Vô Lực Nhân Hỹ,Thì coi như người ấy không có sức lực.
133,2,Kim Viết Cử Bá Quân,"Còn nay nói người ấy nhấc nổi vật nặng 100 quân (3000 cân),"
133,3,Tắc Vi Hữu Lực Nhân Hỹ,Thì coi như người ấy có sức lực.
133,4,Nhiên Tắc Cử Ô Hoạch Chi Nhiệm,"Như vậy thì người ấy có thể nhấc nổi vật nặng như lực sỹ Ô Hoạch,"
133,5,Thị Diệc Vi Ô Hoạch Nhi Dĩ Hỹ,Vậy thì cũng coi như có sức lực như lực sỹ Ô Hoạch rồi.
133,6,Phù Phu Khởi Dĩ Bất Thắng Vi Hoạn Tai,Này người ta chẳng lẽ lo sợ mình làm không nổi ư ?
133,7,Phất Vi Nhĩ,Chẳng qua không chịu làm đó thôi.
135,0,Từ Hành Hậu Trưởng Giả,"Như một người đi nhường đường cho bậc lớn,"
135,1,Vị Chi Đễ,Đó là người biết nết đễ (hòa kính) ;
135,2,Tật Hành Tiên Trưởng Giả,"Người đi không nhường đường cho bậc lớn,"
135,3,Vị Chi Bất Đễ,Đó là người không biết nết đễ (hòa kính).
135,4,Phù Tử Hành Giả,"Này việc đi nhường đường,"
135,5,Khởi Nhân Sở Bất Năng Tai,chẳng lẽ người ta không làm được sao ?
135,6,Sở Bất Vi Dã,Chẳng qua không chịu làm đó thôi.
135,7,Nghiêu Thuấn Chi Đạo,"Đạo của vua Nghiêu, vua Thuấn,"
137,0,Hiếu Đễ Nhi Dĩ Hỹ,Chỉ là Hiếu Đễ mà thôi.
137,1,Tử Phục Nghiêu Chi Phục,"Như ông mặc y phục của vua Nghiêu,"
137,2,Tụng Nghiêu Chi Ngôn Hành Nghiêu Chi Hành,"Nói năng như vua Nghiêu, làm việc như vua Nghiêu,"
137,3,Thị Nghiêu Nhi Dĩ Hỹ,Thế ông chính là vua Nghiêu rồi.
137,4,Tử Phục Kiệt Chi Phục,"Như ông mặc y phục của vua Kiệt,"
137,5,Tụng Kiệt Chi Ngôn Hành Kiệt Chi Hành,"Nói năng như vua Kiệt, làm việc như vua Kiệt,"
137,6,Thị Kiệt Nhi Dĩ Hỹ,Thế ông chính là vua Kiệt rồi.
137,7,Viết Giao Đắc Kiến Ư Trâu Quân,"Tào Giao Tử nói : Giao tôi sẽ đến gặp vua nước Trâu,"
139,0,Khả Dĩ Giả Quán,"Xin một nơi để tá túc,"
139,1,Nguyện Lưu Nhi Thọ Nghiệp Ư Môn,Nguyện ở lại làm môn sinh thụ nghiệp từ thầy.
139,2,Viết Phù Đạo Nhược Đại Lộ Nhiên,"Thầy Mạnh Tử đáp : này đạo như một con đường rộng lớn,"
139,3,Khởi Nan Tri Tai,Chẳng lẽ khó hiểu sao ?
139,4,Nhân Bệnh Bất Cầu Nhĩ,Chỉ do người ta không tìm câu đó thôi.
139,5,Tử Qui Nhi Cầu Chi,"Ông hãy trở về nước mình mà tự tìm cầu học đạo,"
